question,answer,category,table_id,answer_format
What was the first year Roy Emerson won the Davis Cup?,1959,tennis,50,yyyy
What was the first year that Brandon Miller was the Mann Cup Champion?,2002,lacrosse,644,yyyy
How many years after Dennis Erickson's first coaching job did he become head coach of the Salt Lake Stallions?,50,nfl,540,<num_years>
How many years after Dick King-Smith became a widower did he remarry?,1,book,929,<num_years>
How many years after Dwayne Johnson's wrestling debut was his retirement?,23,wrestling,7,<num_years>
What was the first year that Carolina Albuquerque competed on the national team?,1997,volleyball,93,yyyy
What was the first year that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts?,2008,curling,288,yyyy
How many years after entering the NBA draft did Hosket play for the Buffalo Braves?,2,basketball,569,<num_years>
How many years after entering the NBA draft was Pippen awarded NBA steals leader?,8,nba,89,<num_years>
How many years after Ethiopia was first established did Mekelle become its capital?,601,empire,22,<num_years>
How many years after first appearing at the AFC U-23 Asian Cup did Australia achieve their best result?,7,national football team,1166,<num_years>
How many years after first becoming active did Steve Jobs get married?,15,person,353,<num_years>
How many years after getting the 2001 Innovative Teaching Grant - Intel Corporation did Aude Gemma Billard get The Outstanding Young Person in Science and Innovation award?,2,scientist,321,<num_years>
How many years after Gorshkova began skating did she win her first medal?,14,figure skating,743,<num_years>
How many years after Hasanefendić stopped managing RK Metaloplastika did he begin managing his current team?,38,handball,503,<num_years>
What was the first year that James worthy was chosen as an All-American player?,1978,nba,81,yyyy
How many years after her best win did Bev Francis retire?,4,body builder,778,<num_years>
How many years after her first gold medal in any international competition did Carolina Albuquerque win a gold in the Olympics?,9,volleyball,93,<num_years>
What was the first year that Shi Yuqi won a medal at the Asian Junior Championships?,2012,badminton,166,yyyy
How many years after Heroes Unlimited began was the last edition printed?,14,game,1151,<num_years>
How many years after his debut did he retire?,23,wrestling,7,<num_years>
How much longer in years will Esther Hayut's term as President be compared to Uzi Vogelman's term as Deputy President?,4,court,257,<num_years>
How much longer was 20th Century Studios owned by News Corporation than by 21st Century Fox?,12,company,592,<num_years>
How many months after being apprehended did Jeffrey Epstein commit suicide?,1,person,340,<num_months>
How many years after his debut in the Stadium Super Trucks did Gordon win a silver medal at the Summer X Games?,2,car driver,518,<num_years>
How many years after his divorce did Albert A. Michelson get remarried?,1,nobel,370,<num_years>
How long in days did Ingenuity fly on Mars?,418,space probe,1206,<num_days>
How long in days did Mars Express travel in space to reach Mars?,206,space probe,452,<num_days>
What was the first year that someone could enter the Birmingham–Jefferson Convention Complex?,1972,monument,751,yyyy
How many months after his arrest did Epstein die?,1,person,340,<num_months>
How many years after his final MLB appearance did Young die?,35,baseball,401,<num_years>
How many years after his first penalty was Jeffrey Epstein apprehended?,11,person,340,<num_years>
How long in days did Mohammad-Ali Foroughi serve as Speaker of the Parliament?,4,office holder,928,<num_days>
How many years after his last MLB appearance did McCoy die?,70,baseball,405,<num_years>
How many days after Bayinnaung died was he buried?,5,emperor,119,<num_days>
How many years after his last MLB appearance did Wilson die?,39,baseball,400,<num_years>
What was the first year that Wang Xiaoli won a medal at the World Championships?,2010,badminton,174,yyyy
How many years after his MLB debut did Art Wilson play for the Pittsburgh Pirates?,8,baseball,400,<num_years>
How many years after his MLB debut did McCoy play for the Philadelphia Athletics?,2,baseball,405,<num_years>
How many years after his son Ben's birth did Bot take office as State Secretary for the Interior?,22,person,915,<num_years>
How many years after his term as Archbishop Emeritus of Pondicherry and Cuddalore did Ambrose Rayappan die?,26,christian leader,817,<num_years>
How many years after his term ended did Ambrose Rayappan die?,26,christian leader,817,<num_years>
How old did Jeffrey Epstein turn the year he was apprehended?,66,person,340,<num_years>
How many years after INS Trishul was ordered was its launch?,3,navy vessel,1113,<num_years>
How many years after it was built did the Palace of Westminster catch on fire?,818,monument,726,<num_years>
How many years after its completion was Valen Chapel consecrated?,242,church,715,<num_years>
What was the first year Valen Kapell was closed?,1873,church,715,yyyy
How many years after its demolition did the rebuilding of the Palace of Westminster begin?,6,monument,726,<num_years>
How many years after its establishment did the Supreme Administrative Court have Rudolf Thienel as its President?,138,court,254,<num_years>
How old did the Supreme Administrative Court turn the year Anna Sporrer became Vice President?,138,court,254,<num_years>
How many years after its first flight in 2003 was the JF-17 Thunder introduced?,4,fighter,229,<num_years>
How many years after its first flight was the JF-17 produced in Pakistan?,4,fighter,229,<num_years>
How many years after its first publication was the second publication of FATE?,0,game,1175,<num_years>
How many years after its first Summer Olympics appearance did Hungary make its first Winter Olympics appearance?,28,athelete,1026,<num_years>
How many years after its introduction was the Firefly in service?,13,aircraft,1128,<num_years>
How many years after its last publication was Probe no longer active?,6,board game,1188,<num_years>
What was the last year China appeared at both the Summer and Winter Olympics in the same year?,1992,athelete,1024,yyyy
How many years after its launching in the Soviet Union was the INS Vikramaditya commissioned?,5,navy vessel,1109,<num_years>
What was the last year Emilie Hegh Arntzen received a medal in the World Championships?,2020,handball,493,yyyy
"How many years after its release on Pure Trance 2 was ""3 a.m. Eternal"" released in the KLF vs ENT version?",3,music,1071,<num_years>
What was the last year Emilie Hegh Arntzen won a medal in any competition?,2021,handball,493,yyyy
How old did the Supreme Administrative Court turn the year Rudolf Thienel became President?,138,court,254,<num_years>
On what date was Pierre Auguste Cot born?,"February 17, 1837",painter,350,"%B %d, %Y"
How many years after its summer appearance did Hungary make its Intercalated Games appearance?,2,athelete,1026,<num_years>
How many years after Kristina Gorshkova began skating did she win her first medal at the Junior Grand Prix Final?,14,figure skating,743,<num_years>
How many years after last playing for Monterrey did Mohamed first manage the team?,15,footballer,36,<num_years>
How many years after last playing for Real Madrid did Zidane become its assistant manager?,7,footballer,40,<num_years>
How many years after leaving office as the 8th Minister of National Education did Yamin take office as the 14th Minister of Information?,7,office holder,861,<num_years>
How many years after marrying did Nicklaus turn professional?,1,golf,66,<num_years>
What was the last year Frank Urso was named Midfielder of the Year?,1976,lacrosse,656,yyyy
How many years after marrying his spouse did Johann Friedrich Wilhelm Adolf Baeyer win the Liebig Medal?,35,nobel,369,<num_years>
How many years after Miloš Obrenović's reign as Grand Vožd of Serbia ended did his second reign as Prince of Serbia begin?,41,emperor,765,<num_years>
How many years after NYSE's founding did its market cap reach $26.2 trillion?,229,monument,626,<num_years>
How many years after NYSE's founding was its volume US$20.161 trillion?,219,monument,626,<num_years>
How many years after opening was OSC Metalist renovated?,83,stadium,627,<num_years>
How many years after opening was the stadium renovated?,83,stadium,627,<num_years>
How many years after originally opening as Cheltenham Malvern Road was it renamed Cheltenham Spa Malvern Road?,17,railway,465,<num_years>
How many years after PBY Catalina's first flight was its retirement by the United States Navy Reserve?,22,aircraft,1130,<num_years>
How many years after production stopped was the Firefly officially retired?,1,aircraft,1128,<num_years>
"How many years after recording began was ""21st Century Breakdown"" released?",1,music,1070,<num_years>
"How many years after recording of ""21st Century Breakdown"" began was ""Last of the American Girls"" released?",2,music,1070,<num_years>
How many years after retiring did Melissa Coates pass away?,1,body builder,806,<num_years>
How many years after retiring did Melissa L. Coates die?,1,body builder,806,<num_years>
How many years after Rudolf Thienel became President did Anna Sporrer become Vice President?,0,court,254,<num_years>
How many years after Rudolph the Red-Nosed Reindeer's first appearance was Rusty introduced as his cousin?,59,character,1095,<num_years>
How many years after starting his pro career did Diegel marry Violet Bird Diegel?,18,golf,68,<num_years>
How many years after starting his pro career did Snead win his first championship?,8,golf,70,<num_years>
How many years after terrorism began in Egypt did Wilayat Sinai become a belligerent?,1,current war,1006,<num_years>
How many years after the 12th Annual Honda Civic Tour did Kelly Clarkson perform for the Piece by Piece Tour?,2,concert,1034,<num_years>
How many years after the beginning of the dissolution of the Soviet Union did Chechnya become an unrecognized breakaway state?,3,event,1056,<num_years>
How many years after the beginning of the war did Mauritania retreat and withdraw?,4,military conflict,1014,<num_years>
How many years after the beginning of the war did PDR Ethiopia become a belligerent?,13,civil war,979,<num_years>
How many years after the Better Day World Tour was the next tour?,3,concert,1054,<num_years>
How many years after the Birmingham–Jefferson Convention Complex was opened was it first renovated?,37,monument,751,<num_years>
What was the last year Nate Archibald was an NBA All Star?,1982,nba,83,yyyy
How many years after the constitution was adopted was the monarchy abolished?,44,empire,22,<num_years>
What was the last year Roy Emerson won Wimbledon?,1971,tennis,50,yyyy
How many years after the death of his first wife did Caswell die?,32,politician,904,<num_years>
How many years after the economic aid of $9.50 billion did the revenues of the French economy reach 52.6% of GDP?,3,economy,243,<num_years>
How many years after the establishment of the Supreme Court of Israel did Esther Hayut become President?,69,court,257,<num_years>
How many years after the Firefly was introduced did production stop?,12,aircraft,1128,<num_years>
How many years after the first edition was the 5th edition of CATAN released in 1995?,20,board game,1147,<num_years>
How many years after the first flight was the B-24 Skua introduced?,1,aircraft,226,<num_years>
What was the last year Shabalin won a medal representing Russia with Khalyavina?,2002,figure skating,748,yyyy
How many years after the first flight was the Firefly retired?,15,aircraft,1128,<num_years>
How many years after the first launch at the Satish Dhawan Space Centre did the first launch from its second launch pad occur?,26,launchpad,628,<num_years>
How many years after the French occupation of Algeria was its independence?,132,country,436,<num_years>
How many years after the inception of the Kalmar Union did Eric of Pomerania end his reign?,45,empire,430,<num_years>
How many years after the last election will the next Vancouver City Council election take place?,4,legislature,935,<num_years>
How many years after the last Vermont General Assembly general election will the next one take place?,2,legislature,936,<num_years>
How many years after the launch of INS Trishul was it commissioned?,3,navy vessel,1113,<num_years>
How many years after the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad was the next related event?,4,athelete,963,<num_years>
How many years after the Myanmar coup d'état were the elections deferred?,2,current war,964,<num_years>
How many years after the original release was the 2nd edition released?,14,game,1151,<num_years>
"If a judge is appointed at the age of 50, how many years can they serve before a five-year extension is required?",25,court,253,<num_years>
"How many years after the publication of ""A Tale of the Christ"" did Ramon Novarro portray Ben-Hur?",45,character,1101,<num_years>
How many years after the publication of #112 was #202 published?,12,board game,1188,<num_years>
How many years after the Space Shuttle program began did its first flight occur?,5,space program,1062,<num_years>
How many years after the start of the Iran–PJAK conflict was the United States allegedly a supporter of Iran?,5,current war,990,<num_years>
How many years after the Supreme Court of Israel was established did Esther Hayut become president?,69,court,257,<num_years>
How many years after their first T20I in 2005 did England win the T20 World Cup?,5,cricket team,1172,<num_years>
What was the last year that Brandon Miller was the Mann Cup Champion?,2014,lacrosse,644,yyyy
How many years after their first World Cup appearance did Argentina win a championship?,48,national football team,1160,<num_years>
How many years after their first World Cup appearance did England win a Championship?,44,cricket team,1172,<num_years>
How many years after Timoshenko began skating did he win his first gold medal?,14,figure skating,735,<num_years>
How many years after turning 18 did Pettersen win a gold medal at the Junior World Championships?,1,skier,781,<num_years>
