id,question,answer,category,table_id,output
30,How many years did the Ethiopian-Adal war last?,14,empire,22,"
The Ethiopian-Adal war (also known as the Walashma Dengel-Ahmad ibn Ibrihim al-Ghazi war) was a series of conflicts between the Ethiopian Empire and the Adal Sultanate. The war began in 1529 and ended in 1543 with the death of Ahmad ibn Ibrihim al-Ghazi. It is considered one of the largest and most significant conflicts in Eth"
31,How many years after the constitution was adopted was the monarchy abolished?,44,empire,22,"
The constitution was adopted on 16 July 1931. 
The monarchy was abolished on 21 March 1975, which is 1975 - 1931 = 44 years after the constitution was adopted.
The answer is 44"
32,Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,empire,22,"3 October 1935 (Ethiopian-Italian War) – 21 March 1975 (Abolition of Monarchy) = 41 years
The Italian Eritrea happened 30 years before the Ethiopian Empire monarchy was abolished.
The answer is 30"
33,How many years after last playing for Monterrey did Mohamed first manage the team?,15,footballer,36,"2015 - 2018 = 4 years
2018 - 2015 = 3 years
4 + 3 = 7 years
The answer is 7"
34,How many years did Antonio Mohamed manage his previous team before managing the team he currently manages?,1,footballer,36,"

Antonio Mohamed previously managed the team Atlético Mineiro from 2019 to 2022. He then moved on to manage Atlético Mineiro again in 2022. This means he managed the team Atlético Mineiro for 1 year before managing the team he currently manages. 

The answer is 1.

Final Answer:Antonio Mohamed previously managed the team Atlético Mineiro from 201"
35,How many years did Zinedine Zidane spend in the youth division?,9,footballer,40,"
Zidane began his career with AS Foresta in 1981 and ended it with Real Madrid in 2006, for a total of 25 years. However, he only spent 5 years in the youth division, from 1981 to 1986. So, Zidane spent 25 - 5 = 20 years as a senior player. The answer is 5"
36,In what year did Zinedine Zidane start his senior career?,1989,footballer,40,"
Zinedine Zidane started his senior career in 1989.
The answer is 1989.

Final Answer:Zinedine Zidane started his senior career in 1989.

The answer is 1989.

(2022). The Full Wiki. Retrieved 13 December 2022, from https://www.full-wiki.com/zinedine-"
37,How many years longer was Zidane's senior career than his youth career?,9,footballer,40,"

Zidane's senior career lasted 506 years, while his youth career lasted 4 years. 

506 - 4 = 492

Zidane's senior career was 492 years longer than his youth career.

The answer is 492"
38,How many years after last playing for Real Madrid did Zidane become its assistant manager?,7,footballer,40,"
Zidane retired from playing football in 2006. Therefore, he became Real Madrid’s assistant manager 14 years after his last game for the club. The answer is 14.

Final Answer:Zidane retired from playing football in 2006. Therefore, he became Real Madrid’s assistant manager 14 years after his last game for the club. The answer is 14."
39,How many years did Roy Emerson play at an amateur level until he turned pro?,15,tennis,50,"
Roy Emerson turned pro in 1968, having previously played at an amateur level. We are looking to find the number of years he played at an amateur level before turning pro.

The year 1968 is the current year minus five years (1968-1963 = 5 years), so Roy Emerson played at an amateur level for 5 years before turning pro.

The answer is 5"
40,How old was Roy Emerson when he began to play professionally?,32,tennis,50,"

Roy Emerson | AC

Full name
Roy Stanley Emerson

Born
( | 1936-11-03 | ) | 3 November 1936 | (age 85) | Blackbutt, Queensland, Australia

He was born on November 3, 1936.

So, Roy Emerson was 31 years old when he began to play professionally.
"
41,How many years after winning a doubles tournament did Roy Emerson win a singles tournament?,2,tennis,50,"
Emerson won his first singles tournament (the 1959 Australian Open) in the same year that he and Neale Fraser won the doubles tournament (1958). 
He then won his first doubles tournament in 1957. 
Thus, he won his first singles tournament 1 year after his first doubles tournament. 
He then won his second singles tournament (the 1961 French Open) in the same year that"
42,How long in years did it take Roy Emereson to go from amateur to pro?,15,tennis,50,"

Emerson turned pro in 1968, so it took him 1968 - 1953 = 15 years to go from amateur to pro.
The answer is 15"
43,How old was Roy Emerson when he retired from professional play?,47,tennis,50,"
Roy Emerson was born on November 3, 1936.
So, he was 85 years old when he retired from professional play.
The answer is 85"
44,In what year did Roy Emerson first win a Grand Slam Singles Tournament?,1961,tennis,50,"

Roy Emerson first won a Grand Slam Singles Tournament in 1961 when he won the Australian Open. The question asks for the year he first won a Grand Slam Singles Tournament, so The Answer is 1961.

Final Answer:1961 (Australian Open)"
45,How many years after turning pro did Roy Emerson retire?,15,tennis,50,"
Emerson turned pro in 1968. He retired in 1983, so he was a professional tennis player for 15 years. However, this includes the years before he turned pro (1953 to 1968), so he was a competitive tennis player for 25 years. He stopped playing at the age of 46, so he played for 46 - 3 = 43 years. The answer is"
46,How old was Roy Emerson when he first won the French Open Doubles?,24,tennis,50,"
Roy Emerson won his first French Open Doubles title in 1959, when he was 22 years old."
47,What year was Roy Emerson inducted into the International Tennis Hall of Fame?,1982,tennis,50,"

Roy Emerson was inducted into the International Tennis Hall of Fame in 1982. The year 1982 is the answer.

The answer is 1982"
48,How long in years did Roy Emerson play in the amateur league before going professional?,15,tennis,50,"

Roy Emerson turned pro in 1968, so he played in the amateur league for 1968 - 1967 = 1 year.
The answer is 1"
49,How long in years did Roy Emerson play professionally?,15,tennis,50,"

Roy Emerson turned pro in 1968. He retired in 1983, so he played professionally for 25 years.

The answer is 25"
50,How many years passed between Nicklaus's first U.S. Open win and his final Masters Tournament victory?,24,golf,66,"
The U.S. Open is one of the four major championships in men's golf. Nicklaus won his first U.S. Open in 1962. He won his 18th and final major at the Masters Tournament in 1986, 24 years later. 24 - 1 = 23 years passed between Nicklaus's first U.S. Open win and his final Masters Tournament victory. The answer is "
51,How many years after marrying did Nicklaus turn professional?,1,golf,66,"
Jack Nicklaus married Barbara Bash in 1960.
He turned professional in 1961.
Thus, Nicklaus turned professional 1 year after marrying.
The answer is 1"
52,How many years after turning pro did Jack Nicklaus win his first Masters Tournament?,2,golf,66,"

Jack Nicklaus turned professional in 1961. He won his first Masters Tournament in 1963, so he won it 1 year after turning pro. The answer is 1.

Final Answer:One year after turning professional, Jack Nicklaus won his first Masters Tournament in 1963. The answer is 1"
53,How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2,golf,66,"
Jack Nicklaus turned professional in 1961. His first major championship win came at the 1963 Masters Tournament. Therefore, he had been playing for 2 years when he won his first Masters Tournament. The answer is 2"
54,How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15,golf,66,"1976 was the 12th year in which Nicklaus was the leading money winner on the PGA Tour. He began playing on the PGA Tour in 1962, so he had been playing for 14 years when he won his 12th and final leading money winner award. The answer is 14"
55,What was the last year that Jack Nicklaus won a U.S. Open?,1980,golf,66,"
The U.S. Open is one of the four major championships in golf. Jack Nicklaus won the U.S. Open four times: 1962, 1967, 1972, and 1980. The last of these wins was in 1980."
56,How many years passed between Diegel's first PGA Championship win and his T16 finish at the Masters?,6,golf,68,"
Diegel won the PGA Championship in 1928 and 1929, so there were 1929-1928 = 1 years between his first and second PGA Championship win.
He finished T16 at the 1934 Masters, so there were 1934-1929 = 5 years between his second PGA Championship win and his Masters finish.
The answer is 1"
57,How many years before Diegel died was the picture taken?,19,golf,68,"
The question asks for the number of years between 1932, the year the picture was taken, and Diegel’s death in 1951.
1951-1932 = 20 years
The answer is 20"
58,How long in years was Leo Diegel married?,17,golf,68,"1934 is the year he married. He died 5 years and 11 months later, so he was married for 1934 - 1951 = 57 years and 11 months. Since 1 year has 12 months, then 57 years is 57 * 12 = 684 months. Since 1 month has 4 weeks, then 684 months is 684 *"
59,How many years after starting his pro career did Diegel marry Violet Bird Diegel?,18,golf,68,"
Diegel started his pro career in 1916. He married Violet Bird Diegel in 1934. Therefore, he was a professional for 36 years - 1916 to 1934 = 18 years.
Thus, he married Violet Bird Diegel 18 years after starting his pro career.
The answer is 18"
60,How many years after winning his first competition did Leo Diegel pass away?,31,golf,68,"1951 - 1920 = 31 years
So, he lived for 31 + 5 = 36 years after winning his first competition.
The answer is 36"
61,How many years ago did Leo Diegel die?,71,golf,68,"
Leo Diegel died on May 5, 1951. 
The number of years ago he died is 1951-2022 = 30 years. 
The number of years ago he died 20 years ago is 1951-2022 = 30 years.
The answer is 30"
62,How many years into his professional career did Sam Snead win the Masters?,15,golf,70,"
Sam Snead won the Masters Tournament seven times, including in 1949, 1952, and 1954. The Masters was first played in 1934, and Snead turned professional that same year. Therefore, he won the Masters 7 - 1 = 6 years into his professional career. The answer is 6"
63,What year did Sam Snead begin playing professionally?,1934,golf,70,"

Sam Snead began playing professionally in 1934."
64,How many years separate the time Sam Snead began playing professionally and his death?,68,golf,70,"
Sam Snead began playing professionally in 1934. He died on May 23, 2002. Therefore, he played professionally for 68 years. 2002-1934 = 68 years.
The answer is 68"
65,How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,golf,70,"
Snead began his pro career in 1934. He married Audrey Karnes Snead in 1940. 1940 - 1934 = 6 years
The answer is 6"
66,How many years after starting his pro career did Snead win his first championship?,8,golf,70,"1934 is the year Snead turned professional. He won his first PGA Tour event in 1937, so he won his first championship 3 years after starting his pro career. The answer is 3"
67,How old was Sam Snead when he turned professional?,21,golf,70,"

Sam Snead turned professional in 1934 when he was 20 years old."
68,What year was Chuck Howley drafted into the NFL?,1958,rugby,74,"
The year 1958 is mentioned in the table under the heading ""Career information"". The entry ""NFL Draft: 1958 / Round: 1 / Pick: 7"" confirms that Chuck Howley was drafted in 1958. The answer is 1958."
69,How many years did Chuck Howley play for the Los Raiders?,12,rugby,74,"
Chuck Howley played for the Los Raiders from 1961 to 1973, a total of 13 seasons."
70,How many years was Chuck Howley a 5× First-team All-Pro?,5,rugby,74,"

Chuck Howley was a 5× First-team All-Pro from 1966 to 1970, for a total of 5 years.

The answer is 5"
71,How old was Chuck Howley when his NFL career began?,22,rugby,74,"
Chuck Howley was born in 1936, so he was 22 years old when his NFL career began in 1958."
72,When was the last year that Chuck Howley played in the Pro Bowl?,1971,rugby,74,"
Chuck Howley played in the Pro Bowl 6 times: 1965, 1966, 1967, 1968, 1969, and 1971. The last year he played was 1971."
73,During what year did Manning receive the most awards or highlights?,2003,rugby,75,"
Manning’s most successful year was 2011, when he led the New York Giants to a Super Bowl victory. That year, he set an NFL record for most passing yards in a single postseason with 1,219 yards and tied an NFL record with a 99-yard touchdown pass. He was also named the Super Bowl MVP for the second time in his career."
74,How many years had Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12,rugby,75,"
Eli Manning played for the Giants for 13 seasons before winning the Walter Payton NFL Man of the Year in 2016. 
So, he played for 13 - 2016 = 11 years before winning the award. 
The answer is 11"
75,What year was Eli Manning drafted into the NFL?,2004,rugby,75,"
Eli Manning was drafted by the New York Giants in the first round of the 2004 NFL Draft. The date of the draft was April 24, 2004. So, Eli Manning was drafted in 2004. The answer is 2004"
76,How many years did Eli Manning play for the New York Giants?,15,rugby,75,"
Eli Manning played for the New York Giants for 16 seasons, from 2004 to 2019."
77,How many years did Eli Manning attend Ole Miss?,4,rugby,75,"
Eli Manning attended Ole Miss from 1999 to 2003, which means he was there for 5 years (4 regular years + 1 extra year due to a players’ strike). The answer is 5.

Final Answer:Eli Manning attended Ole Miss from 1999 to 2003, which means he was there for 5 years (4 regular years + 1 extra year due to a players’"
78,How many years after attending Ole Miss did Eli Manning win the Bart Starr award?,21,rugby,75,"
The Bart Starr Award is given to the best NFL player who also exhibits outstanding leadership in the community. Eli Manning won the award in 2020, 16 years after he attended Ole Miss. The answer is 16"
79,How many years did James Worthy play professionally?,12,nba,81,"

James Worthy played professionally for 12 years, from 1982 to 1994."
80,For how many years did James Worthy play in the NBA?,12,nba,81,"
James Worthy was drafted by the Los Angeles Lakers in 1982 and played for the team from 1982 to 1994, a total of 13 seasons. Therefore, he played in the NBA for 13 years. The answer is 13"
81,How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,nba,81,"
He won the gold medal in 1979 and entered the draft in 1982, so it was 3 years after winning the gold medal that he entered the draft. The answer is 3"
82,How many years after Worthy's NBA career began did he win his first NBA championship?,3,nba,81,"

Worthy was drafted in 1982. His first NBA season was 1982-83. So, he won his first championship 3 years after his NBA career began, which is 1985. The answer is 3"
83,How many years had James Worthy been playing professionally when he won the NCAA Championship?,0,nba,81,"

1982 is the given year when James Worthy won the NCAA Championship. 

So, he had been playing professionally for 1982 - 1979 = 3 years. 

The answer is 3"
84,How many years ago was Nate Archibald inducted into the Basketball Hall of Fame?,16,nba,83,"

Nate Archibald was inducted into the Basketball Hall of Fame in 1991.

Subtract 1991 from the current year: 2022 - 1991 = 31 years.

The answer is 31"
85,How many years did Nate Archibald play professionally?,14,nba,83,"

Nate Archibald was drafted in 1970 and played his first NBA game in 1970. He played his last NBA game in 1984. So, he played for 14 seasons. The 1970-1971 season was only 70 games, but the others were 82 games. Therefore, he played a total of 14 * 82 = 1156"
86,How long in years was Nate Archibald's career since 1970?,14,nba,83,"

1970 was 52 years ago.

1984 was 38 years ago.

So, Nate Archibald’s career lasted for 38 years.

The answer is 38"
87,How old was Scottie Pippen when he won a gold medal at the 1996 Atlanta Olympic Games?,31,nba,89,"
Scottie Pippen was 31 years old when he won a gold medal at the 1996 Atlanta Olympic Games."
88,How many years did Pippen play between his stints in Chicago?,5,nba,89,"
Pippen played for Chicago Bulls from 1987 to 1998, then from 2003 to 2004. So he played 1987 to 2004, which is 16 years.
However, this includes the two stints he had in Chicago, which were separated by a one-year period. Therefore, Pippen only played 16 - 1 = 15 years between his"
89,How old was Pippen when he won his first Olympic gold?,27,nba,89,"

Scottie Pippen was born on September 25, 1965.

He won his first Olympic gold at the 1992 Summer Olympics when he was 27 years old.

The answer is 27"
90,How many years after entering the NBA draft was Pippen awarded NBA steals leader?,8,nba,89,"

Pippen was selected in the 1987 NBA draft. He won the steals title in 1995, which was 17 years after being drafted. The answer is 17"
91,How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,nba,89,"
Pippen played for the Bulls from 1987 to 2004, for the Trail Blazers from 1999 to 2003, and for the Sundsvall Dragons in 2008. 
The total number of years he played for the Bulls is 27 - 3 = 24.
The total number of years he played for the Trail Blazers is 4 -"
92,How many years ago was Scottie Pippen awarded NBA steals leader?,27,nba,89,"
Scottie Pippen was awarded NBA steals leader in 1995.
It has been 27 years since 1995.
The answer is 27"
93,What was the first year that Carolina Albuquerque competed on the national team?,1997,volleyball,93,"

Carolina Albuquerque debuted on the Brazilian national team in 1997. 

The answer is 1997.

Final Answer:Carolina Albuquerque debuted on the Brazilian national team in 1997. The answer is 1997."
94,How many years separate Carolina Albuquerque's silver medals in the World Grand Prix and the World Championship?,7,volleyball,93,"
The World Grand Prix is held annually, so there is only one year separating her silver medals in that competition. 
The World Championship is held every four years, so there are 4 years separating her silver medal in that competition. 
The difference between those years is 4 - 1 = 3 years.
The answer is 3"
95,How many years after her first gold medal in any international competition did Carolina Albuquerque win a gold in the Olympics?,9,volleyball,93,"
First gold medal: 1997 (Pan American Games).
2008 - 1997 = 11 years.
The answer is 11"
96,In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,volleyball,93,"

Carolina Albuquerque won the most gold medals in international competition in 2008, when she won gold medals at the World Grand Champions Cup, the World Grand Prix, the Final Four Cup, and the Olympic Games."
97,What years did Carolina Albuquerque win medals in Asia?,"1999, 2005, 2006, 2008",volleyball,93,"
Carolina Albuquerque won medals in Asia in the following years:

1999 (Pan American Games)
2007 (Pan American Games)

So, the years were 1999 and 2007.

The answer is 1999,2007"
98,How old was Thiago Alves when he won his first medal at the Olympic Games in 2012?,26,volleyball,96,"

Thiago Alves was 25 years old when he won his first medal at the Olympic Games in 2012. The Olympic Games were held in London, England, in 2012.

The answer is 25"
99,How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?,4,volleyball,96,"2009 - 2007 = 2 years
The answer is 2"
100,How old was Thiago Alves when he won gold in the Pan American Games in 2011?,25,volleyball,96,"

Thiago Alves was born on July 26, 1986. In 2011, he was 25 years old.

The Pan American Games in 2011 were held in Guadalajara, Mexico, from October 14 to 30. Since 2011 had 10 months, Thiago Alves was 25 years old for 10 months, which means he"
101,How many years did Thiago Alves play for Grêmio Náutico União starting from 2000?,3,volleyball,96,2000-2003 = 3 years. The answer is 3
102,How many years after winning his first Olympic medal did Matt Biondi win a medal in his last Olympic Games?,8,swimming,115,"
Biondi won his first Olympic medal in 1984. His last Olympic medal was won in 1992, so he won a medal 1984 + 1992 = 11 years apart. The answer is 11"
103,What year did Matt Biondi win his only bronze in the Olympics?,1988,swimming,115,"

Matt Biondi won his only bronze medal at the 1988 Summer Olympics in the 100 m butterfly."
104,In what year did Jager win the most Olympic medals?,1988,swimming,118,"
Jager won 5 Olympic medals in 1988 (2 gold, 2 silver, and 1 bronze).
So, the answer is 1988. The answer is 1988"
105,How many years were there between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?,7,swimming,118,"
The 1984 Olympics were in July and August. The 1995 Pan Am Games were in August and September. 
There are 11 years between the July 1984 Olympics and the August 1995 Pan Am Games. 
The answer is 11"
106,How old was Bayinnaung when he began his reign as Suzerain of Siam?,48,emperor,119,"
Bayinnaung was born on 16 January 1516.
He began his reign as Suzerain of Siam on 18 February 1564, when he was 48 years old.
The answer is 48"
107,How many years elapsed from the beginning of Bayinnaung's reign as Suzerain of Lan Na to the end of his first reign as Suzerain of Lan Xang?,10,emperor,119,"
Bayinnaung was first crowned Suzerain of Lan Na on 2 April 1558. He was first crowned Suzerain of Lan Xang on 2 January 1565. Therefore, the number of years between these two events is 2 January 1565 - 2 April 1558 = 7 years.
Bayinnaung was crowned Suzerain of Lan Xang for the second"
108,How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation in Toungoo?,9,emperor,119,"
The beginning of his reign was 30 April 1550. His coronation was on 11 January 1551, which was 267 days after the beginning of his reign. 
There are 365 days in a year, so 267 days is 267/365 = 0.73 years.
King Bayinnaung ruled for 10 October 1581"
109,How many days after Bayinnaung died was he buried?,5,emperor,119,"
Bayinnaung died on 10 October 1581. He was buried 5 days later, on 15 October 1581. Therefore, there are 5 days between his death and burial. The answer is 5"
110,In what year did Bayinnaung first reign?,1550,emperor,119,"
Bayinnaung first reigned on 30 April 1550. The answer is 1550.

Final Answer:In 1550 AD, Bayinnaung first reigned."
111,How many years did Bayinnaung rule as the Suzerain of Siam?,17,emperor,119,"
Bayinnaung was the suzerain of Siam from 18 February 1564 to 10 October 1581, a total of 17 years, 7 months, and 22 days."
112,How old was Peter III when he became King of Aragon and Valencia?,37,emperor,122,"
Peter III was born around 1239 in Valencia, Aragon.
He became King of Aragon and Valencia on July 27, 1276, at the age of 37.
The answer is 37"
113,How many years before his death did Peter III begin his reign as King of Sicily?,3,emperor,122,"
Peter III began his reign as King of Sicily on 4 September 1282. He died in November 1285. Therefore, he reigned for 4 years and 3 months.
However, we need the number of years Peter III ruled as King of Aragon and Valencia (his first reign), which was from 27 July 1276 to November 1285. This period is 10 years and 3"
114,How many years did Peter III reign as King of Sicily?,3,emperor,122,"
Peter III reigned as King of Aragon and Valencia for 7 years and 2 months. As King of Sicily, he reigned for 3 years and 8 months.
The total years of his reign as King of Sicily are 3 years and 8 months = 3 years, 4 months, and 8 days.
7 years, 2 months + 3 years = 10 years and 2 months.
The answer is "
115,How many years longer was Peter III's reign as King of Aragon and Valencia than as King of Sicily?,6,emperor,122,"
Peter III was King of Aragon and Valencia for 2 years and 3 months (27 July 1276 – November 1285), and King of Sicily for 2 years and 8 months (4 September 1282 – November 1285). His reign as King of Aragon and Valencia was 2 years and 11 months longer than his reign as King of Sicily. 2 years and 1"
116,How old was Peter III when he started his reign as King of Aragon and Valencia?,37,emperor,122,"

Peter III was born around 1239 in Valencia, Aragon.
He started his reign as King of Aragon and Valencia on July 27, 1276.
So, he was 37 years old then.
The answer is 37"
117,In what year did Chen Yufei win the most medals?,2016,badminton,129,"2020: 3 medals (1 gold, 1 silver, 1 bronze); 2021: 3 medals (1 gold, 1 silver, 1 bronze); 2022: 3 medals (1 gold, 1 silver, 1 bronze). So in which year did Chen Yufei win the most medals? 2020 and 2021 have the same number of medals (6"
118,How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?,7,badminton,129,"

Chen Yufei won the gold medal at the Kota Kinabalu Asian Junior Championships in 2013. 

She won the gold medal at the Tokyo Olympics in 2020. 

There are 7 years between these two events. 

The answer is 7"
119,How many years ago did Shi Yuqi achieve his highest rank?,5,badminton,166,"
Shi Yuqi achieved his highest rank on 24 August 2017 with a career record of 215 wins and 78 losses.
Since the date is 26 February 1996 (Shi Yuqi's birthdate), subtracting the date from the rank will give you the number of days Shi Yuqi held the rank.
24 August 2017 - 26 February 1996"
120,In what year did Shi Yuqi win the most gold medals?,2014,badminton,166,"2018 (Asian Games, Thomas Cup, and Sudirman Cup)
The answer is 2018"
121,How many years separate Yuqi's silver medal at the World Championship from his silver at the Asian Junior Championships?,6,badminton,166,"
2017-2018 = 1
2018-2019 = 1
2019-2020 = 1
2020-2021 = 1
2021-2022 = 1
Total 5 years separate Yuqi's silver medal at the World Championship from his silver at the Asian Junior Championships.
The answer is 5"
122,When was the most recent year in which Shi Yuqi won a medal?,2021,badminton,166,"

2022:
- Thomas Cup: Silver (with China)
- Asian Championships: Bronze (with China)
- Sudirman Cup: Gold (with China)
- Asian Games: Gold (with China)

2021:
- Thomas Cup: Gold (with China)
- Asian Championships: Silver (with China)
- Sudirman Cup: Gold (with China)
- Asian Games: Gold (with China)
"
123,In what year did Wang Xiaoli win the most bronze medals?,2006,badminton,174,"
Wang Xiaoli has won 3 bronze medals in her career. She won her first bronze medal at the 2006 Incheon World Junior Championships in the mixed doubles event. She won her second bronze medal at the 2006 Incheon World Junior Championships in the mixed team event. Her third and most recent bronze medal was won at the 2015 Sudirman Cup in the mixed team event.

Out of these 3"
124,How many years separate Wang Xiaoli's gold medal at the London World Championship from her gold medal at the Asian Junior Championships?,5,badminton,174,"
The London World Championship was in 2011, and the Asian Junior Championships were in 2006. 2011 - 2006 = 5 years.
The answer is 5"
125,How many years ago did Wang Xiaoli achieve her highest ranking?,8,badminton,174,"

Wang Xiaoli’s highest ranking was 1 on 22 May 2014.

So, 22 May 2014 - 13 December 2015 = 2 years and 7 months.

Therefore, Wang Xiaoli achieved her highest ranking 2 years and 7 months ago.

The answer is 2"
126,How old was Wang Xiaoli when she won her first gold medal at the Asian Junior Championships in 2006?,17,badminton,174,"

Wang Xiaoli was born on 24 June 1989, so she was 17 years old when she won her first gold medal at the Asian Junior Championships in 2006.

The answer is 17"
127,How many years were B-24 Skuas on the front line?,3,aircraft,226,"
The Skua was withdrawn from the front line in 1941 after 3 years of service. 
The answer is 3.
Final Answer:The Skua was withdrawn from the front line in 1941 after 3 years of service. The answer is 3. Final Answer:3 years.


The answer is 3"
