question,answer,category,table_id,answer_format
In what year did Paul Coll first win a gold medal in the World Doubles Championships?,2016,squash,109,yyyy
In what year did Paul Coll win his first bronze medal?,2016,squash,109,yyyy
How many years after Barisan Nasional was first part of the United Sabah Party did Gabungan Rakyat Sabah become regional allies of the United Sabah Party?,35,political party,184,<num_years>
How many years after being founded as Birlik was the political party founded as Ada?,7,political party,932,<num_years>
What year did Paul Coll achieve his highest ranking?,2022,squash,109,yyyy
How many years after being laid down did HMS Somerset launch?,2,ship,224,<num_years>
How many years after being laid down was the HMS Astute launched?,6,ship,1114,<num_years>
How many years after being laid down was the HMS Victory launched?,7,ship,1115,<num_years>
How many years after being laid down was the I-179 completed?,2,ship,1112,<num_years>
How long after the Tonnerre was ordered was it commissioned?,14,ship,1110,<num_years>
How many years after being launched did HMS Victory fight at Cape Spartel?,17,ship,1115,<num_years>
How many years after being launched was the Maori Underway completed?,1,ship,1111,<num_years>
How many years after being ordered did it take for the HMS Astute to be put into service?,17,ship,1114,<num_years>
How many years after being ordered was HMS Victory launched?,7,ship,1115,<num_years>
How many years after being ordered was the HMS Astute laid down?,4,ship,1114,<num_years>
How many years after being refounded was it dissolved?,2,political party,932,<num_years>
How many years after Button's Formula One career began did he have his first win?,6,f1,259,<num_years>
How many years after Button's last win did he end his Formula One career?,5,f1,259,<num_years>
How many years after Chiyonofuji Mitsugu's debut did he die?,46,sumo,131,<num_years>
How many years after Copenhagen were the IBF World Championships in Calgary?,2,sports event,1030,<num_years>
How many years after debuting did Haguroyama Masaji retire?,19,sumo,137,<num_years>
How many years after Dhyan Chand joined the military did his hockey career begin?,4,hockey,524,<num_years>
In what year did Futabayama Sadaji make his debut?,1927,sumo,134,yyyy
How many years after Dhyan Chand's hockey career ended did his military career end?,7,hockey,524,<num_years>
How many years after Don Bradman's last Test was his death?,52,cricket,527,<num_years>
How many years after FAT was GUNT an Anti-Libyan Chadian faction?,7,proxy war,975,<num_years>
How many years after Gagan Ajit Singh began playing for the national team did he win a medal at Hobart?,4,hockey,486,<num_years>
How many years after going pro did Mohamed El Shorbagy become ranked number one in the world?,8,squash,108,<num_years>
How many years after his debut did Aminishiki Ryūji achieve the rank of Sekiwake?,10,sumo,180,<num_years>
How many years after his debut did Futabayama Sadaji retire?,18,sumo,134,<num_years>
How many years after his debut did Kaiō Hiroyuki retire?,23,sumo,145,<num_years>
How many years after his debut in 1970 did Chiyonofuji achieve his highest rank?,11,sumo,131,<num_years>
How many years after his first year with Bloomfield did Jayasuriya play for the Khulna Royal Bengals?,18,cricket,56,<num_years>
How many years after his last Test did Bradman die?,53,cricket,527,<num_years>
How many years after his retirement did Futabayama Sadaji die?,23,sumo,134,<num_years>
How many years after HMS Argyll was ordered was it launched?,2,ship,223,<num_years>
How many years after HMS Montrose was ordered in 2005 was it launched?,4,ship,222,<num_years>
How many years after HMS Montrose was ordered was it launched?,4,ship,222,<num_years>
How many years after HMS Victory was commissioned did it fight in the Battle of Trafalgar?,27,ship,1115,<num_years>
How many years after HMS Victory was ordered did it participate in the Battle of Cape Spartel?,24,ship,1115,<num_years>
What year did Harumafuji Kōhei attain his highest ranking?,2012,sumo,139,yyyy
How many years after its first battle did HMS Victory fight at Trafalgar?,27,ship,1115,<num_years>
How many years after its founding did the Australian Defence Force take on its current form?,75,army,1116,<num_years>
How long in months did the 2005 Atlantic hurricane season last?,7,cyclone,1091,<num_months>
How many years after its founding did the newspaper Borba start for the League of Communists of Yugoslavia?,3,political party,185,<num_years>
How many years after its initial founding as Birlik was Adal dissolved?,9,political party,932,<num_years>
How many years after its launch did Portsmouth participate in the Battle of Cape Spartel?,17,ship,1115,<num_years>
How many months after being laid down was HMS Argyll commissioned?,50,ship,223,<num_months>
How many years after its registering was the modern party founded?,5,political party,182,<num_years>
How many years after Jakarta were the IBF World Championships in Copenhagen?,3,sports event,1030,<num_years>
How many years after joining the international team did Brian Lara join the domestic Warwickshire team?,4,cricket,528,<num_years>
How many years after Kimi Räikkönen's debut did he achieve his first win?,2,f1,344,<num_years>
How long did Dhanraj Pillay play for Selangor HA?,3,hockey,485,<num_years>
How many years after Patrese's first Formula One entry was his last win?,15,f1,261,<num_years>
How many years after playing for Kyoto Purple Sanga did Yamamoto play for Ococias Kyoto AC?,17,boxing,484,<num_years>
What year did Kitanoumi Toshimitsu achieve his highest rank?,1974,sumo,148,yyyy
How many years after sinking was the I-179 salvaged?,14,ship,1112,<num_years>
How many months after being launched was HMS Astute commissioned?,38,ship,1114,<num_months>
How many years after the 2019 event in South Korea did the World Aquatics Championships occur again?,3,sports event,1032,<num_years>
How many years after the Australian Defence Force was formed did it take its current form?,75,army,1116,<num_years>
How many years after the beginning of the war did the Sudanese Armed Forces reach their greatest strength?,16,proxy war,982,<num_years>
How many years after the beginning the war did the Soviet Union end its non-combat aid?,3,proxy war,981,<num_years>
How many years after the discovery of Neptune is the time of perihelion?,196,planet,1138,<num_years>
How many years after the founding of the Japan Self-Defense Forces did the 1999 East Timorese crisis occur?,45,army,1120,<num_years>
How many years after the founding of the League of Communists of Yugoslavia did its newspaper begin?,3,political party,185,<num_years>
How many years after the founding of the Republic of Korea Armed Forces was the Vietnam War?,17,army,1121,<num_years>
How many years after the HMS Astute was ordered was the picture taken?,15,ship,1114,<num_years>
How many months after being ordered was HMS Victory laid down?,12,ship,1115,<num_months>
How many years after the I-179 was laid down was it completed?,2,ship,1112,<num_years>
How many years after the I-179 was stricken was it scrapped?,13,ship,1112,<num_years>
How many years after the insurgency began did Russia cease being a belligerent?,14,proxy war,987,<num_years>
How many years after the Islamic Coalition was the party dissolved?,8,political party,930,<num_years>
How many years after the Islamic Republican Party was formed did it become part of the Grand Coalition?,1,political party,930,<num_years>
How long did Riccardo Gabriele Patrese compete?,16,f1,261,<num_years>
How many years after the Islamic Republican Party was formed was it dissolved?,8,political party,930,<num_years>
How many months after being ordered was the Maori laid down?,4,ship,1111,<num_months>
How many years after the Islamic Republican Party was founded did the Grand Coalition become the national affiliation?,1,political party,930,<num_years>
How many years after the Islamic Republican Party was founded was the Grand Coalition the national affiliation?,1,political party,930,<num_years>
"How many years after the Königssee, Germany, IBSF World Championship did another contest take place?",2,sports event,203,<num_years>
How many years after the last year of Cominform affiliation was the League of Communists of Yugoslavia dissolved?,42,political party,185,<num_years>
How many years after the Malayan Emergency began did Clement Attlee become a leader?,3,proxy war,997,<num_years>
How many years after the operation of Fatah began did Syria become an ally?,5,terrorist orgnization,711,<num_years>
How many years after the operation of Fatah ended did Iraq remain an ally?,5,terrorist orgnization,711,<num_years>
How many years after the ordering of HMS Argyll was it launched?,3,ship,223,<num_years>
How many years after the party was founded did Bloc of Communists and Non-Partisans become the national affiliation?,18,political party,933,<num_years>
How many years after the start of the insurgency did Vietnam begin its support for Laos?,1,proxy war,987,<num_years>
How long in days did the 2022 Atlantic hurricane season last?,94,cyclone,1090,<num_days>
How many years after the start of the war did the United States become a belligerent?,4,proxy war,978,<num_years>
What year did the United Sabah Party split from the Sabah People's United Front?,1985,political party,184,yyyy
How many years after the war started did Francisco da Costa Gomes become a leader or commander?,9,proxy war,1000,<num_years>
How many years after the Women's 70 kg event at the 2021 European Judo Championships was Sofia the venue of the European Judo Championships?,1,sports event,200,<num_years>
How many years after the Years of Lead began did the Bologna massacre occur?,12,proxy war,1020,<num_years>
How many years after the Yugoslav Partisans ended was the League of Communists of Yugoslavia dissolved?,45,political party,185,<num_years>
How many years after turning pro did Farag achieve his highest ranking?,13,squash,106,<num_years>
How many years after turning pro did Paul Coll achieve his highest ranking?,12,squash,109,<num_years>
How many years after turning pro did Tarek Momen achieve his highest ranking?,14,squash,110,<num_years>
How many days after being launched was the sister ship I-176 sunk in 1942?,363,ship,1112,<num_days>
How many years after Younis played for Allied Bank Limited was the picture taken?,11,cricket,55,<num_years>
"How long in minutes is the sidereal rotation period of Mars, rounded to the nearest integer?",1477,planet,1137,<num_minutes>
How many days after December 25 does the Armenian Evangelical Church observe Christmas?,12,holiday,211,<num_days>
How many days after Dhanteras is Govardhan Puja?,3,holiday,216,<num_days>
How many years ago did Chiyonofuji die?,6,sumo,131,<num_years>
How many days after Dhanteras/Yama Deepam is Bhai Dooj/Vishwakarma Puja?,4,holiday,216,<num_days>
How many years ago did Haguroyama Masaji start his career?,88,sumo,137,<num_years>
How many years ago did Harumafuji Kōhei debut as a Sumo Wrestler?,21,sumo,139,<num_years>
How many years ago did Jacques Anquetil die?,35,cycling,636,<num_years>
How many years ago did Jenson Button last win the Brazilian Grand Prix in the Formula One World Championship?,10,f1,0,<num_years>
How many days after Dhanteras/Yama Deepam is Govardhan Puja/Balipratipada/Gujarati New Year?,3,holiday,216,<num_days>
How many decades separate the commissioning of HMS Montrose from its refit?,2,ship,222,<num_decades>
How many hours does Purim last?,24,holiday,206,<num_hours>
How many hours is NDT behind Coordinated Universal Time (UTC)?,2.5,time zone,35,<num_minutes>
How many minutes were the maximum winds of Hurricane Wilma sustained?,1,cyclone,1091,<num_minutes>
How many months after his 27th birthday did Makin achieve his highest rank?,2,squash,107,<num_months>
How many days after formation did Hurricane Ivan reach peak intensity?,11,cyclone,958,<num_days>
How many more days were there between the Western and Eastern Easter dates in 2024 compared to 2022?,28,holiday,217,<num_days>
How many more months is the ExoMars mission planned to last?,9,orbitor,461,<num_months>
How many days after forming did it take for Hurricane Gaston to dissipate?,7,cyclone,957,<num_days>
How many Neptunian solar days are there in one Neptunian orbital period?,89666,planet,1138,<num_days>
How many months after his 28th birthday did Harumafuji Kōhei achieve the rank of Yokozuna?,5,sumo,139,<num_months>
How many days after launch did the ExoMars perform orbital insertion?,219,orbitor,461,<num_days>
How many days after New Year's Eve was Marguerite Martyn's sketch of a New Year's Eve celebration published?,4,holiday,210,<num_days>
In what year does Yom Kippur occur the latest?,2024,holiday,208,yyyy
In what year does Yom Kippur occur the earliest?,2021,holiday,208,yyyy
How much longer did Kapil Dev play for Haryana than for Worcestershire?,6,cricket,52,<num_days>
"How much longer in days is Neptune's orbital period than its synodic period, rounded to the nearest integer?",59828,planet,1138,<num_days>
How many days after the 2022 celebration ended did the 2023 celebration begin?,354,holiday,206,<num_days>
How many days after the anniversary of Madan Lal's first Test did he play his last Test?,13,cricket,53,<num_days>
How much longer in days is the time between the Western and Eastern dates in 2021 than in 2023?,21,holiday,212,<num_days>
On what date is the next New Year's Eve?,"December 31, 2022",holiday,210,"%B %d, %Y"
How many days after the heats and semifinals did the finals occur?,1,sports event,1032,<num_days>
How many days after the Islamic Republican Party was dissolved?,3026,political party,930,<num_days>
How many days apart do the Armenian Patriarchate of Jerusalem (non-O.S.) and the Armenian Apostolic Church celebrate Christmas?,13,holiday,211,<num_days>
How many days apart were the National Election Days of 2021 and 2022?,6,holiday,209,<num_days>
How many days apart were the Western and Eastern Easter dates in 2021?,28,holiday,217,<num_days>
How many days are there between Halloween and Christmas for those who observe them?,55,holiday,213,<num_days>
How old does one have to be to serve in the Federal Defence Forces of Germany?,17,army,1118,<num_years>
"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?",6 p.m.,time zone,34,H %p
How many years ago did Kaiō Hiroyuki first debut in sumo wrestling?,34,sumo,145,<num_years>
"If the first report of the White House COVID-19 outbreak had occurred a month later than it actually did, on what date would it have occurred?","November 1, 2020",disease,1205,"%B %d, %Y"
How many days are there between the Christmas celebration of Western Christianity and the most common Oriental Orthodox celebration date?,13,holiday,211,<num_days>
In how many months will the Arab Socialist Ba'ath Party celebrate its 76th anniversary?,4,political party,183,<num_months>
In what month and year did Aminishiki Ryūji have his first official fight?,January 1997,sumo,180,%B %Y
How many days are there between the dates of National Election Day in 2023 and 2024?,2,holiday,209,<num_days>
On what date will Thanksgiving be in 2024?,"November 28, 2024",holiday,214,"%B %d, %Y"
On what date was Thanksgiving in 2021?,"November 25, 2021",holiday,214,"%B %d, %Y"
On what date will Thanksgiving be in 2023?,"November 23, 2023",holiday,214,"%B %d, %Y"
In what month and year did Kaiō Hiroyuki achieve his highest rank in sumo wrestling?,September 2000,sumo,145,%B %Y
In what month and year did Tarek Momen achieve his highest ranking?,February 2019,squash,110,%B %Y
In which year between 2021 and 2024 was the Western Easter date the earliest?,2024,holiday,217,yyyy
In which year does Hanukkah occur earliest in the year?,2021,holiday,207,yyyy
In which year does Hanukkah occur latest in the year?,2024,holiday,207,yyyy
On what month and day was the 16th of Tishrei celebrated in 2022?,October 10,holiday,219,%B %d
How many days are there from Christmas to New Year's Eve?,6,holiday,210,<num_days>
How many days before celebrating Christmas did Anna Tunnicliffe win the gold?,9,sports event,201,<num_days>
On what month and day will Good Friday be observed in 2024 in the Eastern Hemisphere?,May 3,holiday,212,%B %d
On which date did Hurricane Ivan reach peak intensity in the Yucatán Channel?,"September 13, 2004",cyclone,958,"%B %d, %Y"
How many days before D-Day was the I-179 sunk?,328,ship,1112,<num_days>
How many days before the finals were the semifinals?,1,sports event,1032,<num_days>
How many days did Hurricane Ivan last as a storm?,23,cyclone,958,<num_days>
"Other than in 2022, in what year are the Western and Eastern Easter dates one week apart?",2023,holiday,217,yyyy
How many years ago did Kitanoumi Toshimitsu retire?,37,sumo,148,<num_years>
How many days did Mardi Gras last in 2022?,1,holiday,218,<num_days>
Over how many months did Hurricane Gaston exist?,2,cyclone,957,<num_months>
How many days did the 2021 European Judo Championships last?,1,sports event,200,<num_days>
"Since its inception, what is the longest number of years the Israel Defense Forces have gone without a major military operation?",11,army,1119,<num_years>
How many days did the Women's 63 kg event at the 2021 African Judo Championships last?,1,sports event,199,<num_days>
In what year will Mardi Gras occur latest in the year?,2022,holiday,218,yyyy
How many days does Sukkot last?,6,holiday,219,<num_days>
In what year will Mardi Gras happen earliest in the year?,2024,holiday,218,yyyy
What date did Mother's Day fall on in 2021?,"May 9, 2021",holiday,215,"%B %d, %Y"
What date did Thanksgiving fall on in 2021?,"November 25, 2021",holiday,214,"%B %d, %Y"
What date is the Gujarati New Year in 2022?,"October 24, 2022",holiday,216,"%B %d, %Y"
What date is the second Tuesday after the first Monday of November in 2023?,"November 14, 2023",holiday,209,"%B %d, %Y"
How many days earlier was the heat from the final in the women's 100 metre breaststroke at the 2016 FINA World Swimming Championships?,1,sports event,1031,<num_days>
What date is the third Sunday of May in 2022?,"May 15, 2022",holiday,215,"%B %d, %Y"
What date was National Election Day celebrated in 2018?,"November 6, 2018",holiday,209,"%B %d, %Y"
How many years ago did Sebastian Vettel last win?,3,f1,262,<num_years>
How many years ago did Sebastian Vettel last win?,35,f1,262,<num_years>
How many years ago did Shaun Pollock play his last T20I?,14,cricket,54,<num_years>
How many months after launch was the Mars orbiter insertion for ExoMars?,7,orbitor,461,<num_months>
How many months after the 2022 celebration is the 2024 celebration?,24,holiday,206,<num_months>
How many years ago did the Federal Defence Forces of Germany take on its current form?,32,army,1118,<num_years>
How many years ago did the Insurgency in Laos start?,47,proxy war,987,<num_years>
What date was the first Monday in November in 2018?,"November 5, 2018",holiday,209,"%B %d, %Y"
How many years ago did the Liberation Tigers of Tamil Eelam start?,46,terrorist orgnization,712,<num_years>
How many years ago did Viv Richards make his ODI debut?,47,cricket,57,<num_years>
How many years ago did Waqar Younis play his last ODI?,19,cricket,55,<num_years>
How many years ago was HMS Montrose ordered?,34,ship,222,<num_years>
How many months after the order was the Tonnerre laid down?,5,ship,1110,<num_months>
How many years ago was Mohamed El Shorbagy ranked as World No. 1?,8,squash,108,<num_years>
How many years ago was the 2002 Atlantic hurricane season?,20,cyclone,1090,<num_years>
How many months after the ordering of HMS Somerset was it laid down?,9,ship,224,<num_months>
How many years ago was the Communist Party of the Soviet Union banned?,31,political party,933,<num_years>
How many years ago was the Federal Defence Forces of Germany founded?,67,army,1118,<num_years>
How many years ago was the Indian National Congress established?,136,political party,931,<num_years>
How many years ago was the Indian National Congress founded?,137,political party,931,<num_years>
How many years ago was the Islamic Republican Party founded?,43,political party,930,<num_years>
How many years ago was the Israel Defense Forces founded?,74,army,1119,<num_years>
How many years ago was the Japan Self-Defense Forces founded?,68,army,1120,<num_years>
What year did Fernando Alonso enter the Australian Grand Prix?,2001,f1,258,yyyy
What date will Thanksgiving fall on in 2023?,"November 23, 2023",holiday,214,"%B %d, %Y"
What hurricane season did Hurricane Gaston form?,2004,cyclone,957,yyyy
How many years ago was the last IBSF World Championships?,1,sports event,203,<num_years>
How many years ago was the sister ship I-176 salvaged and scrapped?,65,ship,1112,<num_years>
What year did Jenson Button win his first championship?,2009,f1,259,yyyy
How many years ago was the United States Armed Forces formed?,247,army,1123,<num_years>
How many years ago were the Liberation Tigers of Tamil Eelam defeated?,13,terrorist orgnization,712,<num_years>
How many years are between Jacques Anquetil's first and last medal wins?,14,cycling,636,<num_years>
How many years are between Madan Lal's last Test and his ODI debut?,12,cricket,53,<num_years>
How many years are between Makin's current rank and when he won bronze at the World Team Championships?,3,squash,107,<num_years>
How many years are there between Barrichello's best finish in his Stock Car Brasil career and his best finish in his IndyCar Series career?,2,f1,51,<num_years>
In what year was Jenson Button's last entry in the Formula One World Championship?,2017,f1,259,yyyy
In what year did Jenson Button make his first entry in the Formula One World Championship?,2000,f1,259,yyyy
How many years are there between Barrichello's last win and his last entry into a Grand Prix for Formula One?,2,f1,51,<num_years>
How many years are there between Farag winning gold at the Cairo World Championships and at the Marseille World Team Championships?,4,squash,106,<num_years>
What is the average number of months are soldiers conscripted to the Republic of Korea Armed Forces across all branches?,20,army,1121,<num_months>
How many years are there between Rubens Barrichello's first and last win in Formula One?,9,f1,51,<num_years>
How many years before achieving his highest ranking did Paul Coll win gold at the Manchester World Doubles Championships?,5,squash,109,<num_years>
How many years before he retired did Daisuke Shiga achieve his highest rank?,5,sumo,169,<num_years>
How many years before his career ended was Patrese's first win?,11,f1,261,<num_years>
How many years before his death did Obata retire?,30,sumo,148,<num_years>
How many years before his death did Raymond Poulidor win the silver medal for France?,45,cycling,104,<num_years>
How many years before Kapil Dev's last ODI did he start playing for Worcestershire?,10,cricket,52,<num_years>
How many years before Singh played for HC Klein Zwitserland did he play for the Indian national team?,8,hockey,486,<num_years>
What is the average of the minimum and maximum military age in the Republic of Korea Armed Forces?,23,army,1121,<num_years>
How many years before the 2019 World Aquatics Championships did the previous World Aquatics Championships occur?,2,sports event,1032,<num_years>
In what year did Riccardo Gabriele Patrese compete in the Japanese Grand Prix?,1992,f1,261,yyyy
How many years before the commissioning of HMS Argyll was it laid down?,4,ship,223,<num_years>
How many years before the end of the emergency did Southern Rhodesia cease being a belligerent?,7,proxy war,997,<num_years>
How many years before the end of the war did DR Sudan end its support?,2,proxy war,975,<num_years>
How many years before the end of the war was the Third Liberation Army formed?,11,proxy war,974,<num_years>
How many years before the Königssee bobsleigh Two-man at the IBSF World Championships was a similar contest held?,1,sports event,203,<num_years>
How many years before the war began did Abdul Karim Qasim become a leader?,3,proxy war,981,<num_years>
How many years before the war ended did Southern Rhodesia cease being a belligerent?,14,proxy war,1001,<num_years>
How many years before the war ended did the Republic of the Congo stop being a belligerent?,2,proxy war,978,<num_years>
How many years before the war ended did the Republic of the Sudan stop being a belligerent?,3,proxy war,982,<num_years>
How many years before Zoetemelk first won the Paris–Nice stage race did he win gold at the Olympics?,6,cycling,103,<num_years>
How many years did Brian Lara play for Team Trinidad and Tobago?,21,cricket,528,<num_years>
How many years did Chiyonofuji Mitsugu compete?,21,sumo,131,<num_years>
