id,question,answer,category,table_id,output,answer_format
10,Around which year will the next orbital period begin starting from the time of perihelion?,2206,planet,1138,"To determine the next orbital period beginning from the time of perihelion, we need to add the orbital period of Neptune to the year of its last perihelion passage.

From the table:
- Time of perihelion: 2042-Sep-04
- Orbital period: 164.8 years

Adding the orbital period to the year of the last perihelion:
2042 + 164.8 = 2206.8

Since we typically round to whole years for calendar purposes, the next perihelion will occur around the year 2207.

Final Answer: 2207",yyyy
11,"Between 2021 and 2024, how many years does Mardi Gras take place in February?",3,holiday,218,"To determine how many years between 2021 and 2024 Mardi Gras takes place in February, let's examine the dates provided:

- 2021: February 16
- 2022: March 1
- 2023: February 21
- 2024: February 13

We can see that Mardi Gras falls in February for three out of these four years.

Final Answer: 3",<num_years>
12,"Between 2021 and 2024, which year does Purim occur the earliest in the year?",2021,holiday,206,"To determine which year Purim occurs the earliest between 2021 and 2024, we need to compare the dates provided for each year.

- **2021**: Purim occurs from sunset on February 25 to nightfall on February 26.
- **2022**: Purim occurs from sunset on March 16 to nightfall on March 17.
- **2023**: Purim occurs from sunset on March 6 to nightfall on March 7.
- **2024**: Purim occurs from sunset on March 23 to nightfall on March 24.

Comparing the dates:
- 2021: February 25 - 26
- 2022: March 16 - 17
- 2023: March 6 - 7
- 2024: March 23 - 24

The earliest date among these is February 25, which falls in 2021.

Final Answer: 2021",yyyy
13,"Between 2021 and 2024, which year does Purim occur the latest in the year?",2024,holiday,206,"To determine which year Purim occurs the latest between 2021 and 2024, we need to compare the dates provided for each year:

- **2021**: Sunset, 25 February - Nightfall, 26 February
- **2022**: Sunset, 16 March - Nightfall, 17 March
- **2023**: Sunset, 6 March - Nightfall, 7 March
- **2024**: Sunset, 23 March - Nightfall, 24 March

From the dates, it is clear that Purim occurs on March 24 in 2024, which is the latest date among the given years.

Final Answer: 2024",yyyy
14,"Between 2021 and 2024, which year does Sukkot occur earliest in the year?",2021,holiday,219,"To determine which year Sukkot occurs earliest between 2021 and 2024, we need to compare the start dates provided for each year.

- **2021:** Sunset, 20 September
- **2022:** Sunset, 9 October
- **2023:** Sunset, 29 September
- **2024:** Sunset, 16 October

Comparing the start dates:
- 2021 starts on 20 September.
- 2022 starts on 9 October.
- 2023 starts on 29 September.
- 2024 starts on 16 October.

Clearly, 2021 and 2023 both start in September, but 2021 starts earlier than 2023. 2022 and 2024 both start in October, but 2022 starts earlier than 2024.

Therefore, the earliest occurrence of Sukkot between 2021 and 2024 is in 2021.

Final Answer: 2021",yyyy
15,"Between 2021 and 2024, which year does Sukkot occur latest in the year?",2024,holiday,219,"To determine which year between 2021 and 2024 Sukkot occurs latest, we need to compare the end dates of Sukkot for each year provided.

- **2021**: Ends on nightfall, 27 September (28 September outside of Israel)
- **2022**: Ends on nightfall, 16 October (17 October outside of Israel)
- **2023**: Ends on nightfall, 6 October (7 October outside of Israel)
- **2024**: Ends on nightfall, 23 October (24 October outside of Israel)

Comparing the end dates:
- 2021 ends on 27 September
- 2022 ends on 16 October
- 2023 ends on 6 October
- 2024 ends on 23 October

Clearly, 2024's end date (23 October) is the latest among the given years.

Final Answer: 2024",yyyy
16,By how many days did the Black Friday dates differ between 2022 and 2021?,1,holiday,214,"To determine the difference in days between the Black Friday dates in 2022 and 2021, we need to look at the specific dates provided in the table:

- For 2021, Black Friday was observed on November 26.
- For 2022, Black Friday was observed on November 25.

Now, let's calculate the difference:

November 26 (2021) - November 25 (2022) = 1 day.

Therefore, the Black Friday date in 2022 was one day earlier than in 2021.

Final Answer: 1 day.",<num_days>
17,By how many days did the National Election Day dates differ in 2022 and 2023?,1,holiday,209,"To determine the difference in days between the National Election Day dates in 2022 and 2023, we need to compare the specific dates provided for each year.

- In 2022, the National Election Day was on November 8.
- In 2023, the National Election Day was on November 7.

Now, we calculate the difference between these two dates:
November 8 (2022) - November 7 (2023) = 1 day.

Therefore, the National Election Day dates differed by 1 day between 2022 and 2023.

Final Answer: 1 day",<num_days>
18,At what age did Dhanraj Pillay compete in his first Asian Games?,22,hockey,485,"To determine the age at which Dhanraj Pillay competed in his first Asian Games, we need to identify the earliest year he participated in the Asian Games from the given information.

From the ""Asian Games"" section, the earliest year mentioned is 1990 for the Beijing event.

Dhanraj Pillay was born on 16 July 1968. We calculate his age in 1990:
1990 - 1968 = 22 years old

Final Answer: Dhanraj Pillay was 22 years old when he competed in his first Asian Games.",<num_years>
19,At what age did Dhanraj Pillay join the National team?,21,hockey,485,"To determine the age at which Dhanraj Pillay joined the national team, we need to find when he first represented India and calculate his age at that time.

From the ""National team"" section, we can see that Dhanraj Pillay's career with the Indian national team spanned from 1989 to 2004.

His birth year is given as 1968-07-16.

To find out the age in 1989:
- Calculate the difference between 1989 and 1968: 1989 - 1968 = 21
- Since he was born in July and it was already 1989 by the end of the year, he would have turned 21 in 1989.

Therefore, Dhanraj Pillay joined the national team at the age of 21.
Final Answer: 21",<num_years>
20,At what age did Dhanraj Pillay play for Indian Gymkhana?,24,hockey,485,"To determine the age at which Dhanraj Pillay played for Indian Gymkhana, we need to follow these steps:

1. Identify when Dhanraj Pillay joined Indian Gymkhana.
2. Calculate his age at that time.

From the ""Senior career"" section of the table, we can see that Dhanraj Pillay played for Indian Gymkhana from 1992-1993.

Next, we need to calculate his age during this period. Dhanraj Pillay was born on 16 July 1968.

Let's calculate his age at the start of the 1992-1993 season:
- The season starts in 1992.
- His birth year is 1968.

1992 - 1968 = 24 years old

Therefore, Dhanraj Pillay was 24 years old when he played for Indian Gymkhana.

Final Answer: 24 years old",<num_years>
21,At what age did Don Bradman join his second domestic team?,27,cricket,527,"To determine the age at which Don Bradman joined his second domestic team, we need to identify when he switched from New South Wales to South Australia.

From the table, we see that:
- His first domestic team was New South Wales from 1927/28 to 1933/34.
- His second domestic team was South Australia from 1935/36 onwards.

Next, we calculate his age during the transition period:
- The transition occurred in the 1934/35 season.
- We know he was born on 27 August 1908.

We can calculate his age as follows:
- From 27 August 1908 to 30 June 1934 (end of the 1933/34 season): 
  1934 - 1908 = 26 years old.
- From 1 July 1934 to 30 June 1935 (start of the 1935/36 season):
  26 + 1 = 27 years old.

Therefore, Don Bradman was 27 years old when he joined his second domestic team, South Australia.
Final Answer: 27 years old",<num_years>
22,At what age did Don Bradman play for the national side?,20,cricket,527,"To determine at what age Don Bradman played for the Australian national side, we need to find his age when he made his Test debut.

From the information provided:
- Don Bradman was born on 27 August 1908.
- His Test debut was on 30 November 1928.

We calculate his age on his Test debut:
- Bradman turned 20 years old on 27 August 1928.
- By the end of August 1928, he would have been 20 years and a few months old.
- He played his first Test match on 30 November 1928, which is after his 20th birthday but before his 21st birthday.

Therefore, Don Bradman was 20 years old when he played for the national side.

Final Answer: 20",<num_years>
23,At what age did Don Bradman play his last Test?,40,cricket,527,"To determine Don Bradman's age when he played his last Test, we need to find his age on 18 August 1948, the date of his last Test match.

1. Bradman was born on 27 August 1908.
2. His last Test match was on 18 August 1948.
3. Calculate the difference in years between his birth year and the year of his last Test: 1948 - 1908 = 40 years.
4. Since his last Test match was in August and he was already 40 years old at the beginning of that year, he would have been 40 years old during the entire year of 1948.

Therefore, Don Bradman was 40 years old when he played his last Test.
Final Answer: 40 years old",<num_years>
24,At what age did Eddy Merckx last win 34 individual stages at the Tour de France?,30,cycling,635,"To determine the age at which Eddy Merckx last won 34 individual stages at the Tour de France, we need to identify the years when he won these stages and then calculate his age at the time of the last win.

From the ""Major wins"" section, we can see that Eddy Merckx won 34 individual stages during the years 1969-1972 and 1974. 

- In 1969, he won 9 stages.
- In 1970, he won 7 stages.
- In 1971, he won 8 stages.
- In 1972, he won 6 stages.
- In 1974, he won 4 stages.

The last year he won 34 individual stages was 1972.

Next, we need to calculate his age in 1972. Eddy Merckx was born on June 17, 1945. To find his age in 1972, we subtract his birth year from 1972:

1972 - 1945 = 27

Therefore, Eddy Merckx was 27 years old when he last won 34 individual stages at the Tour de France.

Final Answer: 27",<num_years>
25,At what age did Eddy Merckx win gold at the 1964 World Championships?,19,cycling,635,"To determine the age at which Eddy Merckx won gold at the 1964 World Championships, we need to follow these steps:

1. Identify the relevant information from the table: 
   - Eddy Merckx was born on 17 June 1945.
   - He won a gold medal at the 1964 World Championships in Sallanches in the Amateurs' road race.

2. Calculate the age in 1964:
   - Year of birth: 1945
   - Year of the championship: 1964
   - Age = 1964 - 1945 = 19 years old

Therefore, Eddy Merckx was 19 years old when he won gold at the 1964 World Championships.
Final Answer: 19 years old",<num_years>
26,What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?,2014,f1,51,"To determine the year Rubens Barrichello had his best finish in his Stock Car Brasil career, we need to look at the information provided in the ""Stock Car Brasil career"" section of the table.

From the table:
- Debut season: 2012
- Best finish in the championship: 1st in 2014

Based on this information, Rubens Barrichello had his best finish in his Stock Car Brasil career in 2014, which was a 1st place finish in the championship.

Final Answer: 2014",yyyy
27,At what age did Farag turn professional?,17,squash,106,"To determine the age at which Ali Farag turned professional, we need to find the difference between his birth year and the year he turned pro.

From the table:
- Ali Farag was born on 22 April 1992.
- He turned pro in 2009.

Now, calculate the difference:
2009 (year he turned pro) - 1992 (birth year) = 17 years

Therefore, Ali Farag turned professional at the age of 17.
Final Answer: 17",<num_years>
28,At what age did Gagan Ajit Singh win a medal at the Asian Games?,22,hockey,486,"To determine the age at which Gagan Ajit Singh won a medal at the Asian Games, we need to follow these steps:

1. Identify the Asian Games event in the table.
2. Determine the year of the Asian Games.
3. Calculate his age during that year.

From the table:
1. The Asian Games event is mentioned under ""Asian Games.""
2. The Asian Games took place in 2002 in Busan, South Korea.
3. Gagan Ajit Singh was born on December 9, 1980.

Now, calculate his age in 2002:
- 2002 - 1980 = 22 years old

Therefore, Gagan Ajit Singh was 22 years old when he won a silver medal at the 2002 Asian Games in Busan, South Korea.

Final Answer: 22",<num_years>
29,At what age did Gagan Ajit Singh win a medal at the Champions Challenge?,21,hockey,486,"To determine the age at which Gagan Ajit Singh won a medal at the Champions Challenge, we need to follow these steps:

1. Identify the year he won the Champions Challenge medal.
2. Calculate his age in that year.

From the table, we can see that Gagan Ajit Singh won the Gold medal at the Champions Challenge in 2001 in Kuala Lumpur.

Next, we calculate his age in 2001:
- He was born on December 9, 1980.
- In 2001, he would have turned 20 years old.

Final Answer: Gagan Ajit Singh was 20 years old when he won the Gold medal at the Champions Challenge in 2001.",<num_years>
30,At what age did Haguroyama Masaji achieve his highest rank?,26,sumo,137,"To determine the age at which Haguroyama Masaji achieved his highest rank, we need to find the difference between the year he reached Yokozuna and his birth year.

From the table:
- Haguroyama Masaji was born on November 18, 1914.
- He reached the highest rank of Yokozuna in May 1941.

Now, let's calculate the difference in years:
1941 - 1914 = 27 years

Next, we need to account for the months. Since both dates are in different months, we'll consider the month difference:
November (1914) to May (1941) spans 7 months (December, January, February, March, April, May).

So, he was 27 years and 7 months old when he became Yokozuna.

Final Answer: Haguroyama Masaji was 27 years and 7 months old when he achieved his highest rank of Yokozuna.",<num_years>
31,At what age did Haguroyama Masaji receive his highest ranking?,27,sumo,137,"To determine the age at which Haguroyama Masaji received his highest ranking, we need to find the year he achieved the Yokozuna rank and calculate his age at that time.

From the table:
- Haguroyama Masaji's birth year: 1914
- His highest rank: Yokozuna (achieved in May, 1941)

Now, we calculate his age in 1941:
1941 - 1914 = 27 years old

Therefore, Haguroyama Masaji received his highest ranking at the age of 27.
Final Answer: 27",<num_years>
32,By how many days do the dates of Black Friday differ between 2021 and 2024?,3,holiday,214,"To determine the difference in days between Black Friday dates in 2021 and 2024, we first identify the specific dates from the table:

- In 2021, Black Friday was observed on November 26.
- In 2024, Black Friday will be observed on November 29.

Next, we calculate the difference between these dates:

November 29, 2024 - November 26, 2021 = 3 days.

Therefore, the dates of Black Friday differ by 3 days between 2021 and 2024.
Final Answer: 3 days",<num_days>
33,How many days after being completed was the Maori commissioned?,5,ship,1111,"To determine how many days after being completed the Maori was commissioned, we need to calculate the difference between the completion date and the commissioning date.

1. Completion Date: 30 November 1938
2. Commissioning Date: 5 December 1938

First, let's break it down month by month:

- From 30 November 1938 to 30 November 1938: 1 day (30th is the last day of the month)
- From 1 December 1938 to 4 December 1938: 4 days

Adding these together:

1 + 4 = 5 days

Therefore, the Maori was commissioned 5 days after being completed.

Final Answer: 5 days",<num_days>
34,At what age did Haguroyama Masaji retire?,39,sumo,137,"To determine the age at which Haguroyama Masaji retired, we need to calculate the difference between his retirement date and his birth date.

From the information given:
- Haguroyama Masaji retired in September 1953.
- He was born on November 18, 1914.

Since he retired in September 1953, it means he had not yet reached his birthday in that year. Therefore, we need to calculate his age as of September 1953.

1. Calculate the full years between 1914 and 1953: 
   1953 - 1914 = 39 years.

2. Check if he had already had his birthday in 1953:
   His birthday is on November 18, so by September 1953, he had not yet had his birthday that year.

Therefore, Haguroyama Masaji was 39 years old when he retired.

Final Answer: 39",<num_years>
35,At what age did Jenson Button become active in his career?,20,f1,259,"To determine the age at which Jenson Button became active in his Formula One career, we need to find the year he started and subtract it from his birth year.

From the information provided:
- Jenson Button was born on 19 January 1980.
- His active years in Formula One were from 2000-2017.

So, we calculate his age in 2000:
2000 - 1980 = 20

Therefore, Jenson Button was 20 years old when he became active in his Formula One career.
Final Answer: 20",<num_years>
36,At what age did Jenson Button win his first Hungarian Grand Prix?,26,f1,259,"To determine Jenson Button's age when he won his first Hungarian Grand Prix, we need to follow these steps:

1. Identify the year of his first win in the Hungarian Grand Prix.
2. Calculate his age in that year.

From the table, we can see that Jenson Button's first win was in the 2006 Hungarian Grand Prix.

Next, we need to calculate his age in 2006. According to the table, Jenson Button was born on 19 January 1980.

To find his age in 2006:
- 2006 - 1980 = 26

Therefore, Jenson Button was 26 years old when he won his first Hungarian Grand Prix.

Final Answer: 26",<num_years>
37,At what age did Jenson Button win his last Brazilian Grand Prix?,32,f1,259,"To determine Jenson Button's age when he won his last Brazilian Grand Prix, we need to follow these steps:

1. Identify the year of his last win: According to the table, his last win was at the 2012 Brazilian Grand Prix.
2. Find his birth year: The table states he was born on January 19, 1980.
3. Calculate his age in 2012: 
   - 2012 - 1980 = 32

Therefore, Jenson Button was 32 years old when he won his last Brazilian Grand Prix in 2012.

Final Answer: 32",<num_years>
38,How many days after being launched was the Maori commissioned?,459,ship,1111,"To determine how many days after being launched the Maori was commissioned, we need to calculate the difference between its commissioning date and launch date.

1. **Launch Date:** 2 September 1937
2. **Commissioning Date:** 5 December 1938

We will break this into steps:

1. Calculate the number of days from 2 September 1937 to 31 December 1937.
   - From 2 September to 30 September: 29 days
   - October: 31 days
   - November: 30 days
   - December: 31 days up to 31 December

   Total days in 1937: \( 29 + 31 + 30 + 31 = 121 \) days

2. Calculate the number of days from 1 January 1938 to 4 December 1938.
   - January: 31 days
   - February: 28 days (1938 is not a leap year)
   - March: 31 days
   - April: 30 days
   - May: 31 days
   - June: 30 days
   - July: 31 days
   - August: 31 days
   - September: 30 days
   - October: 31 days
   - November: 30 days
   - December: 4 days up to 4 December

   Total days in 1938: \( 31 + 28 + 31 + 30 + 31 + 30 + 31 + 31 + 30 + 31 + 30 + 4 = 335 \) days

3. Add the days from both years:
   - Days from 1937: 121 days
   - Days from 1938: 335 days

   Total days: \( 121 + 335 = 456 \) days

Therefore, the Maori was commissioned 456 days after it was launched.

Final Answer: 456 days",<num_days>
39,At what age did Kimi Räikkönen enter his first Formula One World Championship?,22,f1,344,"To determine at what age Kimi Räikkönen entered his first Formula One World Championship, we need to find his age when he made his first entry into the championship and identify when that entry occurred.

From the table, we can see that his first entry into the Formula One World Championship was in the 2001 Australian Grand Prix. His birthdate is given as 17 October 1979.

Let's calculate his age in 2001:
- Year of birth: 1979
- First entry into Formula One: 2001
- Age in 2001 = 2001 - 1979 = 22 years old

Therefore, Kimi Räikkönen entered his first Formula One World Championship at the age of 22.

Final Answer: 22",<num_years>
40,At what age did Kimi Räikkönen get divorced?,35,f1,344,"To determine the age at which Kimi Räikkönen got divorced, we need to identify when his divorce occurred and subtract it from his birth year.

From the table, we can see that Kimi Räikkönen's first divorce was in 2014. His birth year is 1979.

Calculating the age:
2014 - 1979 = 35

Therefore, Kimi Räikkönen was 35 years old when he got divorced in 2014.
Final Answer: 35",<num_years>
41,At what age did Kimi Räikkönen win his first Formula One World Championship?,24,f1,344,"To determine the age at which Kimi Räikkönen won his first Formula One World Championship, we need to follow these steps:

1. Identify when he won his first championship.
2. Calculate his age at that time.

From the table:
- Kimi Räikkönen's first championship was in 2007.
- He was born on 17 October 1979.

Now, let's calculate his age in 2007:
- In 2007, he would have turned 27 years old on 17 October 2007.
- Since his first championship was also in 2007, we can conclude that he was 27 years old when he won his first championship.

Final Answer: Kimi Räikkönen was 27 years old when he won his first Formula One World Championship.",<num_years>
42,At what age did Mohamed El Shorbagy turn pro?,15,squash,108,"To determine the age at which Mohamed El Shorbagy turned pro, we need to find his birth year and compare it to the year he turned professional.

From the table:
- Born: 12 January 1991
- Turned Pro: 2006

Now, calculate the difference:
2006 (year he turned pro) - 1991 (birth year) = 15 years old

Therefore, Mohamed El Shorbagy turned pro at the age of 15.
Final Answer: 15",<num_years>
43,At what age did Mohamed El Shorbagy win the World Team Championship?,20,squash,108,"To determine the age at which Mohamed El Shorbagy won the World Team Championship, we need to follow these steps:

1. Identify when he won the World Team Championship.
2. Calculate his age at that time.

From the table, we can see that El Shorbagy won the World Team Championship in 2011 in Paderborn, Germany.

Next, we need to calculate his age in 2011:
- He was born on 12 January 1991.
- In 2011, he would have turned 20 years old by the end of the year.

Therefore, Mohamed El Shorbagy was 20 years old when he won the World Team Championship in 2011.

Final Answer: 20",<num_years>
44,How long in months did it last as Adal?,17,political party,932,"To determine how long Adal lasted as a political party, we need to calculate the time between its founding as Adal and its dissolution.

- Adal was founded on 26 April 2020.
- It was dissolved on 26 April 2022.

The difference between these dates is exactly 24 months.

Final Answer: 24 months",<num_months>
45,At what age did Riccardo Patrese first win the Monaco Grand Prix?,28,f1,261,"To determine Riccardo Patrese's age when he first won the Monaco Grand Prix, we need to follow these steps:

1. Identify the year of his first win: 1982.
2. Find his birth year: 1954.
3. Calculate the difference between the year of his first win and his birth year.

1982 - 1954 = 28

Therefore, Riccardo Patrese was 28 years old when he first won the Monaco Grand Prix.
Final Answer: 28",<num_years>
46,At what age did Riccardo Patrese start his career?,23,f1,261,"To determine Riccardo Patrese's age when he started his Formula One career, we need to know both his birth year and the first year he participated in a Formula One Grand Prix.

From the information given:
- Riccardo Patrese was born on 17 April 1954.
- His first entry into a Formula One Grand Prix was at the 1977 Monaco Grand Prix.

Now, let's calculate the age:
- The 1977 Monaco Grand Prix took place in 1977.
- Riccardo Patrese was born in 1954.

Subtracting his birth year from the year of his first race:
1977 - 1954 = 23

Therefore, Riccardo Patrese started his career at the age of 23.
Final Answer: Riccardo Patrese started his career at the age of 23.",<num_years>
47,At what age did Riccardo Patrese win the Japanese Grand Prix?,38,f1,261,"To determine Riccardo Patrese's age when he won the Japanese Grand Prix, we need to follow these steps:

1. Identify the year of the Japanese Grand Prix win: 1992 (as per the table).
2. Determine Riccardo Patrese's birth year: 1954 (as per the table).
3. Calculate the age: 1992 - 1954 = 38.

Therefore, Riccardo Patrese was 38 years old when he won the Japanese Grand Prix in 1992.

Final Answer: Riccardo Patrese was 38 years old when he won the Japanese Grand Prix.",<num_years>
48,At what age did Roger De Vlaeminck win his first World Championships gold medal?,28,cycling,637,"To determine the age at which Roger De Vlaeminck won his first World Championships gold medal, we need to identify when he won his first gold medal and then calculate his age at that time.

From the information provided in the table, we can see that De Vlaeminck won a Silver medal - second place in the Men's cyclo-cross World Championships in 1975 at Yvoir, but no gold medals are listed for him.

Since there is no mention of any gold medals in the provided data, we cannot determine the age at which he won his first World Championships gold medal based on the given information.

Final Answer: The information provided does not include any details about Roger De Vlaeminck winning a gold medal in the World Championships.",<num_years>
49,At what age did Roger De Vlaeminck win the Vuelta a España in 1984?,37,cycling,637,"To determine the age at which Roger De Vlaeminck won the Vuelta a España in 1984, we need to follow these steps:

1. Identify his birth year from the table: Roger De Vlaeminck was born on 24 August 1947.
2. Determine the year he won the Vuelta a España: According to the table, he won one stage of the Vuelta a España in 1984.
3. Calculate his age in 1984: 
   - Year of victory: 1984
   - Birth year: 1947
   - Age = 1984 - 1947 = 37

Therefore, Roger De Vlaeminck was 37 years old when he won the Vuelta a España in 1984.

Final Answer: 37",<num_years>
50,At what age did Roger De Vlaeminck win the Vuelta a España?,37,cycling,637,"To determine the age at which Roger De Vlaeminck won the Vuelta a España, we need to follow these steps:

1. Identify the year he won the Vuelta a España.
2. Calculate his age in that year based on his birth year.

From the table, we can see that Roger De Vlaeminck won one individual stage of the Vuelta a España in 1984.

Next, we calculate his age in 1984:
- He was born on August 24, 1947.
- In 1984, he would have turned 37 years old on August 24, 1984.

Therefore, Roger De Vlaeminck was 37 years old when he won the Vuelta a España in 1984.

Final Answer: 37",<num_years>
51,At what age did Sebastian Vettel win his first Italian Grand Prix?,21,f1,262,"To determine Sebastian Vettel's age when he won his first Italian Grand Prix, we need to find the year he won this race and then calculate his age based on his birth year.

From the information given:
- Vettel's first win was at the 2008 Italian Grand Prix.
- Vettel was born on 3 July 1987.

Now, let's calculate his age in 2008:
- In 2008, Vettel would have turned 21 years old (since 2008 - 1987 = 21).

Therefore, Sebastian Vettel was 21 years old when he won his first Italian Grand Prix.
Final Answer: 21 years old",<num_years>
52,At what age did Sebastian Vettel win his last race at the Singapore Grand Prix?,32,f1,262,"To determine Sebastian Vettel's age when he won his last race at the Singapore Grand Prix, we need to follow these steps:

1. Identify the year of the Singapore Grand Prix where Vettel won.
2. Calculate his age based on the birth year provided.

From the information given:
- Vettel's last win was at the 2019 Singapore Grand Prix.
- Vettel was born on 3 July 1987.

Now, let's calculate his age in 2019:
- In 2019, Vettel would have turned 32 years old because 2019 - 1987 = 32.

Therefore, Sebastian Vettel was 32 years old when he won his last race at the Singapore Grand Prix.

Final Answer: 32",<num_years>
53,For how many years did Dhanraj Pillay play for the national side?,15,hockey,485,"To determine the number of years Dhanraj Pillay played for the Indian national team, we need to look at the ""National team"" section of the table. The table shows his career span from 1989 to 2004.

1. The earliest year listed under ""National team"" is 1989.
2. The latest year listed is 2004.

To find the duration, we subtract the earliest year from the latest year:
\[ 2004 - 1989 = 15 \]

Therefore, Dhanraj Pillay played for the Indian national team for 15 years.

Final Answer: 15 years",<num_years>
54,For how many years did Jenson Button's professional career last?,17,f1,0,"To determine the duration of Jenson Button's professional career, we need to look at his active years in Formula One and any additional racing careers mentioned.

From the table:
- Active years in Formula One: 2000-2017

Additionally, there is information about his Super GT GT500 Championship career:
- Debut season: 2017
- Last entry: 2017 Monaco Grand Prix

This indicates that his Super GT GT500 Championship career also lasted for one year, starting in 2017.

Adding the years together:
- Formula One: 2000-2017 (18 years)
- Super GT GT500: 2017 (1 year)

Total professional career length: 18 + 1 = 19 years

Final Answer: 19 years",<num_years>
