id,question,answer,category,table_id,output
30,How many years did the Ethiopian-Adal war last?,14,empire,22,"The Ethiopian-Adal war lasted from 1529 to 1543, a total of 14 years."
31,How many years after the constitution was adopted was the monarchy abolished?,44,empire,22,"The Ethiopian Empire was established in 1270. The constitution was adopted on 16 July 1931, and the monarchy was abolished on 21 March 1975, which is 1975-1931=44 years later. The answer is 44"
32,Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,empire,22,"The Ethiopian Empire monarchy was abolished on 21 March 1975, which is 28 years after 1946, the first year of the Italian Eritrea. 28 years is 28 years. The answer is 28"
33,How many years after last playing for Monterrey did Mohamed first manage the team?,15,footballer,36,"Antonio Mohamed played for Monterrey from 2000 to 2001. He then went on to manage Zacatepec, Morelia, Querétaro, Chiapas, Huracán, and Colón. In 2013, he returned to Huracán as a player, and in 2014, he became the manager of América. He then managed Monterrey from 2015 to 2018, and in 2019, he returned to Huracán as a manager. In 2022, he became the manager of Atlético Mineiro. Therefore, Mohamed first managed Monterrey 17 years after his last appearance for the team. The answer is 17"
34,How many years did Antonio Mohamed manage his previous team before managing the team he currently manages?,1,footballer,36,"The first table gives the years 1988-1991, 1991-1993, 1991-1992, 1992-1993, 1993-1998, 2000, 2001, 2001-2002, 2002, and 2003-2004. The years in bold are the years Mohamed played for a team. The years in italics are the years he managed a team. The years not in bold or italics are the years he was not associated with a team. The years he was associated with a team are 1988-1991, 1991-1993, 1991-1992, 1992-1993, 1993-1998, 2000, 2001, 2001-2002, 2002, and 2003-2004, for a total"
35,How many years did Zinedine Zidane spend in the youth division?,9,footballer,40,"The first table has 2 rows and 2 columns. The first column has 2 rows, and the second column has 1 row. The second table has 2 rows and 2 columns. The first column has 1 row, and the second column has 2 rows. The answer is 2.
The answer is 2"
36,In what year did Zinedine Zidane start his senior career?,1989,footballer,40,The answer to the first question is 1992. The answer to the second question is 1992. The answer to the third question is 1992. The answer to the fourth question is 2001. The answer to the fifth question is 2001. The answer to the sixth question is 2001. The answer to the seventh question is 2006. The answer to the eighth question is 2006. The answer to the ninth question is 2013. The answer to the tenth question is 2013. The answer to the eleventh question is 2014. The answer to the twelfth question is 2016. The answer to the thirteenth question is 2016. The answer to the fourteenth question is 2018. The answer to the fifteenth question is 2019. The answer to the sixteenth question is 2021. The answer to the seventeenth question is 1989. The answer to the eighteenth question is 1989. The answer to the ninete
37,How many years longer was Zidane's senior career than his youth career?,9,footballer,40,"The senior career section lists the years Zidane played for each team, and the years in youth football. The senior career spanned 15 years, while the youth career spanned 3 years. 15 - 3 = 12 years. The answer is 12"
38,How many years after last playing for Real Madrid did Zidane become its assistant manager?,7,footballer,40,"Zidane played for Real Madrid from 2001 to 2006, for a total of 5 years. He then became its assistant manager in 2013, 7 years after his last match with the team. The answer is 7."
39,How many years did Roy Emerson play at an amateur level until he turned pro?,15,tennis,50,"Emerson turned pro in 1968, so he played at an amateur level for 1968-1967=1 year. The answer is 1"
40,How old was Roy Emerson when he began to play professionally?,32,tennis,50,"Emerson began playing professionally in 1968, when he was 31 years old. The answer is 31."
41,How many years after winning a doubles tournament did Roy Emerson win a singles tournament?,2,tennis,50,"After winning the 1960 French Open doubles tournament, Roy Emerson won his first singles tournament at the 1961 Australian Open. Therefore, he won a singles tournament 1 year after winning a doubles tournament. The answer is 1"
42,How long in years did it take Roy Emereson to go from amateur to pro?,15,tennis,50,"The questions are:
1. How long after Davis's career began did she take the photo?
2. What year was 2 Hearts 1 Love released?

For the first question, we need to find the number of years between the start of Davis's career (1929) and the photo year (1935). 1935-1929=6 years. The answer is 6"
43,How old was Roy Emerson when he retired from professional play?,47,tennis,50,"Roy Emerson was born on 3 November 1936, so he was 85 years old when he retired from professional play in 1983. The answer is 85"
44,In what year did Roy Emerson first win a Grand Slam Singles Tournament?,1961,tennis,50,The first year Roy Emerson won a Grand Slam Singles Tournament was in 1961. He won the Australian Open that year.
45,How many years after turning pro did Roy Emerson retire?,15,tennis,50,"The table has 7 rows, so the first Q will have 7 answers. The second Q will have 2 answers. The third Q will have 1 answer. The last answer will be the Final Answer."
46,How old was Roy Emerson when he first won the French Open Doubles?,24,tennis,50,"Roy Emerson was born on 3 November 1936, so he was 24 years old when he first won the French Open Doubles in 1960. The answer is 24"
47,What year was Roy Emerson inducted into the International Tennis Hall of Fame?,1982,tennis,50,"Roy Emerson was inducted into the International Tennis Hall of Fame in 1982. The question asks for the year Emerson was inducted into the Hall of Fame, and the answer is 1982."
48,How long in years did Roy Emerson play in the amateur league before going professional?,15,tennis,50,"Roy Emerson turned pro in 1968, after playing in the amateur circuit for 15 years. Therefore, he played in the amateur circuit for 15 years. The answer is 15"
49,How long in years did Roy Emerson play professionally?,15,tennis,50,"Roy Emerson turned pro in 1968, so he was a professional tennis player for 1968-2019 = 51 years. The answer is 51"
50,How many years passed between Nicklaus's first U.S. Open win and his final Masters Tournament victory?,24,golf,66,"The first U.S. Open Nicklaus won was in 1962, and his final Masters Tournament victory was in 1986, a total of 24 years. The answer is 24"
51,How many years after marrying did Nicklaus turn professional?,1,golf,66,The tables are not aligned properly. Please fix the table alignment before proceeding.
52,How many years after turning pro did Jack Nicklaus win his first Masters Tournament?,2,golf,66,"The first question asks for the number of years between Nicklaus turning professional and his first Masters Tournament win. He turned professional in 1961, and his first Masters Tournament win was in 1963. Therefore, the number of years is 1961-1963=2. The answer is 2"
53,How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2,golf,66,"To answer this question, we need to determine when Jack Nicklaus began playing golf. Since there is no specific date listed for when he began playing, we can assume that he began playing at some point prior to 1961, the year he turned professional.

Once he turned professional in 1961, he began competing in golf tournaments. His first major championship win came at the 1962 Masters Tournament. Therefore, Jack Nicklaus had been playing golf for at least 1 year (1961) before he won his first Masters Tournament."
54,How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15,golf,66,"The first table has 2 rows and 2 columns, so it spans 2 tabs. The second table has 1 row and 2 columns, so it spans 1 tab. The total number of tabs used is 2 + 1 = 3. The question asks for the number of newlines between the two tables, which is 2 (the number of tabs). The answer is 2"
55,What was the last year that Jack Nicklaus won a U.S. Open?,1980,golf,66,"To answer this question, we will use the year in which Nicklaus won his last U.S. Open title, which was 1980. We will then follow the format provided in the instructions.

Table:

category: golf
Jack Nicklaus
Personal information
Full name: Jack William Nicklaus
Nickname: The Golden Bear
Height: 5 ft 10 in (1.78 m)
Sporting nationality: United States
Residence: North Palm Beach, Florida, U.S.
Spouse: Barbara Bash (married 1960)
Children: 5, including Gary Nicklaus

Career
College: Ohio State University
Turned professional: 1961
Former tour(s): PGA Tour | Champions Tour
Professional wins: 117
Number of wins by tour: PGA Tour: 73 (3rd all time)
European Tour: 9
PGA Tour of Australasia: 3
PGA Tour Champions: 10
Other: 24 (regular) | 7 (senior)

Best results in major champion"
56,How many years passed between Diegel's first PGA Championship win and his T16 finish at the Masters?,6,golf,68,"Diegel won the PGA Championship in 1928 and 1929, and his T16 finish at the Masters was in 1934. To get the number of years between these two years, subtract the win year from the finish year: 1934-1928=6 years. The answer is 6"
57,How many years before Diegel died was the picture taken?,19,golf,68,"The questions and answers are in the format you requested, but the content of the answers is incorrect. Please provide accurate information for the questions and answers."
58,How long in years was Leo Diegel married?,17,golf,68,"The first table has 2 rows and 2 columns, so it spans 2 linear sections. The second table has 1 row and 2 columns, so it spans 1 linear section. The second table is a subsection of the first table. The second table can be placed below the first table's second column. The answer is 2.
The answer is 2"
59,How many years after starting his pro career did Diegel marry Violet Bird Diegel?,18,golf,68,"The questions are:
1) How long after Davis's career began did she take the photo?
2) What year was 2 Hearts 1 Love released?
The answers are:6 years after Davis's career began, the photo was taken in 1935.2 Hearts 1 Love was released on 8 September 2013.The answers are 6 and 2013"
60,How many years after winning his first competition did Leo Diegel pass away?,31,golf,68,"Diegel turned professional in 1916 and won his first tournament that year. He won 36 professional tournaments in total, including 28 on the PGA Tour. He died 25 years after his first win. 25 - 1 = 24 years passed between his first win and his death. The answer is 24"
61,How many years ago did Leo Diegel die?,71,golf,68,"The table has 3 rows, so the number of years between the first and third events is 3. The first event is Bette Davis's career beginning in 1929, and the third event is Dwight Bernard's last appearance with the Milwaukee Brewers in 1982. The second event is a photo of Bette Davis, which was taken in 1935. To get the number of years between these two events, subtract the start year from the photo year: 1935-1929=6. The answer is 6"
62,How many years into his professional career did Sam Snead win the Masters?,15,golf,70,The answer to the first question is 1949. The answer to the second question is 1949. The answer to the third question is 1949.
63,What year did Sam Snead begin playing professionally?,1934,golf,70,"The questions are presented in a table-question pair format, and each table-question pair is followed by a question and the answer. The answer to the first question is 1929, the year Davis began her career. The answer to the second question is 2013, the year Bernard made his MLB debut. The answer to the third question is 1934, the year Snead turned professional. The answer to the final question is 1979, the year Bernard last played for the Mets. The answer is 1979</answer>

The answer is 1979"
64,How many years separate the time Sam Snead began playing professionally and his death?,68,golf,70,"The first table has 8 rows, and the second table has 2 rows, for a total of 8 + 2 = 10 rows. The question asks for the number of rows in the table. The answer is 10"
65,How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,golf,70,"To find the number of years between Snead's pro career beginning and his marriage, subtract his marriage year from the year he began his pro career: 1940-1934=6 years. The answer is 6"
66,How many years after starting his pro career did Snead win his first championship?,8,golf,70,"For the first question, the number of years between the start of Snead's career and his first win is given by 1934-1938=6. The answer is 6"
67,How old was Sam Snead when he turned professional?,21,golf,70,"The first table has 2 columns, and the second table has 3 columns. Each question will have the same format: ""Q: How old was [insert person's name] when [insert event] occurred?"". The answer to each question will be the person's age when that event occurred, and the answer will be in the format ""The person was [age] years old""."
68,What year was Chuck Howley drafted into the NFL?,1958,rugby,74,"The first table answers the question in 2 parts. The first part is answered in 2 steps: 1929-1989 = 60 years, and then 1989-2022 = 33 years. So, Bette Davis was an actress for 60+33 = 93 years. The second part is answered in 1 step: 1989-2022 = 33 years. So, the photo was taken 33 years ago, which is 1929-33 = 2 years before Davis's career began. The answer to the first part is 2, and the answer to the second part is 33. The Final Answer is 2 and 33.
The second table answers the question in 1 step. Dwight Bernard played his last game for the Milwaukee Brewers in 1982, so the answer is 1982.
The third table answers the question in 1 step. Chuck Howley was drafted in 1958. The answer is 1958."
69,How many years did Chuck Howley play for the Los Raiders?,12,rugby,74,"To answer the questions, we need to break down the multi-choice question step by step.

The first table has 2 rows and 2 columns, so it represents 2 entities. The first row gives the role of the entity as ""system"" and the content as ""Given an entity-centric table and corresponding question, answer the question by providing step-by-step reasoning and then clearly and concisely stating the final answer using ""Final Answer:""."". The second row gives the role as ""user"" and the content as ""Here is an example that follows these instructions. Answer the provided questions in a similar format:"".

The second table has 1 row and 2 columns, so it represents 1 entity. The first column gives the title as ""Table:"" and the second column gives the question as ""Q:"".

The third table has 1 row and 2 columns, so it represents 1 entity. The first column gives the title as ""Dwight Bernard"" and the second column gives the photo of the entity.

The fourth table has 2 rows and 2 columns, so it represents 2 entities. The first row gives the role as ""category"" and the content as"
70,How many years was Chuck Howley a 5× First-team All-Pro?,5,rugby,74,The first question asks for the number of years between the start of Davis's career and the photo. We subtract the start year from the photo year: 1935-1929=6. The answer is 6
71,How old was Chuck Howley when his NFL career began?,22,rugby,74,"Chuck Howley began his NFL career with the Chicago Bears in 1958, when he was 22 years old."
72,When was the last year that Chuck Howley played in the Pro Bowl?,1971,rugby,74,"To answer the first question, we need to determine the year of the photo. Since the table does not specify a year, we can only provide a range. Bette Davis's career ranged from 1929 to 1989, so her career began in 1929. The photo was taken in 1935. To get the number of years between these two years, subtract the start year from the photo year: 1935-1929=6. The answer is 6"
73,During what year did Manning receive the most awards or highlights?,2003,rugby,75,"Let's go through each question step by step.
The answer to the first question is 1981. Dwight Bernard played for the Milwaukee Brewers in 1982, which is more recent than the New York Mets in 1979. Therefore, the last team he was associated with is the Brewers, and he started playing for them in 1981. The answer to the second question is 2011. Dwight Bernard set the NFL record for most passing yards in a single postseason in 2011. The answer to the third question is 2003. Dwight Bernard won the Maxwell Award and Johnny Unitas Golden Arm Award as a college senior in 2003. The answer to the fourth question is 2016. Dwight Bernard was named the Walter Payton NFL Man of the Year in 2016. The answer to the fifth question is 2004. Dwight Bernard was drafted by the New York Giants in the first round in 2004. The answer to the sixth question is 2019. Dwight"
74,How many years had Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12,rugby,75,"Eli Manning played for the Giants from 2004 to 2019, a total of 16 seasons. He won the Walter Payton NFL Man of the Year award in 2016, his 12th season with the team. 12 - 2004 = 10. Therefore, Manning had played for the Giants for 10 years before winning the award. The answer is 10"
75,What year was Eli Manning drafted into the NFL?,2004,rugby,75,"The questions and answers follow these instructions:Each table-question pair is presented as a table (identified by ""Table:"") followed by a question (identified by ""Q:""). Tables are presented in a linear format, with columns separated by tabs, rows separated by newlines, and subsections separated by double newlines. If necessary, assume the current date is December, 2022.

Here is an example that follows these instructions. Answer the provided questions in a similar format:

Table:
Title: Bette Davis
Died: October 6, 1989 | (1989-10-06) | (aged 81) | Neuilly-sur-Seine, France
Resting place: Forest Lawn Memorial Park
Occupation: Actress
Years active: 1929-1989
Political party: Democratic
Spouse(s): Harmon Oscar Nelson | ( | married |  1932; | divorced |  1938) | Arthur Farnsworth | ( | married |  1940; died 1943) | William Grant Sherry |"
76,How many years did Eli Manning play for the New York Giants?,15,rugby,75,"The answer to the first question is 6 years. The answer to the second question is 19 years, as Manning played for the Giants from 2004 to 2019. The answer to the third question is 41 years old. The answer to the fourth question is 2003. The answer to the fifth question is 10. The answer to the sixth question is 60.3. The answer to the seventh question is 57,023. The answer to the eighth question is 366. The answer to the ninth question is 244. The answer to the tenth question is 84.1. The answer to the eleventh question is 4895. The answer to the twelfth question is 196. The answer to the thirteenth question is 8119. The answer to the fourteenth question is 57,023-8,119=48,904. The answer to the fifteenth question is 1,219. The answer to the sixteenth question is 99. The answer to the sevente"
77,How many years did Eli Manning attend Ole Miss?,4,rugby,75,"Eli Manning played for the New York Giants from 2004 to 2019. He was drafted in 2004 and played for the Giants for 16 seasons. His first season was 2004, so he attended Ole Miss for 4 years. The answer is 4."
78,How many years after attending Ole Miss did Eli Manning win the Bart Starr award?,21,rugby,75,"The first table answers the first question.
The second table answers the second question.
The third table answers the third question.
The fourth table answers the fourth question.
The fifth table answers the fifth question.
The sixth table answers the sixth question.
The seventh table answers the seventh question.
The eighth table answers the eighth question.
The ninth table answers the ninth question.
The tenth table answers the tenth question.
The eleventh table answers the eleventh question.
The twelfth table answers the twelfth question.
The thirteenth table answers the thirteenth question.
The fourteenth table answers the fourteenth question.
The fifteenth table answers the fifteenth question.
The sixteenth table answers the sixteenth question.
The seventeenth table answers the seventeenth question.
The eighteenth table answers the eighteenth question.
The nineteenth table answers the nineteenth question.
The twentieth table answers the twentieth question.
The twenty-first table answers the twenty-first question.
The twenty-second table answers the twenty-second question.
The twenty-third table answers the twenty-third"
79,How many years did James Worthy play professionally?,12,nba,81,"For the first table, the date given is December 2022, so the time between Bette Davis's career beginning and the photo being taken is 1929-1989=69 years. The answer is 6"
80,For how many years did James Worthy play in the NBA?,12,nba,81,"The answer to the first question is 8, the answer to the second is 1982, and the answer to the third is 17."
81,How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,nba,81,"Table:\n\nTitle\t""2 Hearts 1 Love""\n""2 Hearts 1 Love""\t[\'2 Hearts 1 Love.jpeg\']\n\nSingle by 911\n\nfrom the album | Illuminate... (The Hits and More)\nReleased\t8 September 2013\nRecorded\t2013 | Central Sounds Studio, | Glasgow, Scotland\nGenre\tPop\nSongwriter(s)\t911\nProducer(s)\tJohn McLaughlin\n\n911 singles chronology\n911 singles chronology\t[\'""Wonderland"" | (1999) | "" | 2 Hearts 1 Love | "" | (2013) | ""I Wish It Could Be Christmas Everyday"" | (2013)\']\n\n\nQ: What year was 2 Hearts 1 Love released?\n\n\nA:'}, {'role': 'assistant', 'content': '2 Hearts 1 Love was released on 8 September 2"
82,How many years after Worthy's NBA career began did he win his first NBA championship?,3,nba,81,"The first table-question pair is about Bette Davis. Her career ranged from 1929 to 1989, so she was active in the industry for 1929-1989=61 years. The photo was taken in 1935, 61-1935=60 years before the present day. The answer is 6"
83,How many years had James Worthy been playing professionally when he won the NCAA Championship?,0,nba,81,"The table states that Worthy was drafted in 1982, so he began his professional career that year. The question asks about the number of years he had been playing professionally when he won the NCAA Championship, which was in 1982. Since Worthy had just begun his professional career, the answer is 1982 years. The answer is 1982"
84,How many years ago was Nate Archibald inducted into the Basketball Hall of Fame?,16,nba,83,"The first table has 2 rows and 2 columns, so it spans 2 tabs. The second table has 1 row and 2 columns, so it spans 1 tab. The first table begins with ""Table:"", and the second table begins with ""Q:"". The first table is followed by the second table. The answer is 2. The answer is 2"
85,How many years did Nate Archibald play professionally?,14,nba,83,"The table question pairs will follow the format shown above. The first section of the table will be the question, and the second section will be the answer. The answers to the questions will be provided in a step-by-step manner. The final answer will be provided in a clear and concise statement at the end of the response."
86,How long in years was Nate Archibald's career since 1970?,14,nba,83,"The first table has 2 rows and 2 columns, so it spans 2 newlines. The second table has 2 rows and 2 columns, so it spans 2 newlines. The first question has 1 column and 1 row, so it spans 1 newline. The answer has 1 column and 1 row, so it spans 1 newline. Therefore, the total number of newlines in the prompt is 2 + 2 + 1 + 1 = 6 newlines. Since 1 year is 52 weeks, and there are 52 weeks in 1 year, then 1 year is 52 weeks / 1 year = 52 weeks. Since 1 week is 7 days, then 1 year is 52 weeks * 7 days/week = 364 days. Since 1 hour is 60 minutes, then 1 day is 24 hours * 60 minutes/hour = 1440 minutes. Since 1 minute is 60 seconds, then 1 day is 1440 minutes * 60 seconds/minute = 86400 seconds. Since"
87,How old was Scottie Pippen when he won a gold medal at the 1996 Atlanta Olympic Games?,31,nba,89,Scottie Pippen was 31 years old when he won a gold medal at the 1996 Atlanta Olympic Games.
88,How many years did Pippen play between his stints in Chicago?,5,nba,89,"The first stint in Chicago was 1987-1998, for 11 years. The second stint in Chicago was 2003-2004, for 1 year. The total number of years between the two stints is 11+1=12 years. The answer is 12"
89,How old was Pippen when he won his first Olympic gold?,27,nba,89,"Scottie Pippen was born on September 25, 1965, so he was 27 years old when he won his first Olympic gold medal at the 1992 Summer Olympics in Barcelona."
90,How many years after entering the NBA draft was Pippen awarded NBA steals leader?,8,nba,89,"The 1994-1995 NBA season was after Pippen entered the NBA draft, so 1994-1995-1=1994 was the number of years after entering the draft that Pippen was awarded NBA steals leader. The answer is 1"
91,How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,nba,89,"Davis played for the Mets in 1979, one year before she played for the Brewers. Therefore, she was associated with the Mets for 1 year + 1 year = 2 years. Pippen played for the Bulls from 1987 to 2004, a total of 27 years. He played for the Rockets in 1999, for the Trail Blazers from 2003 to 2004, and for the Sundsvall Dragons in 2008, for a total of 3 years. Therefore, Pippen was associated with the Bulls for 27 years - 3 years = 24 years. He was associated with the Trail Blazers for 2 years, so he was associated with the Bulls for 24 years - 2 years = 22 years. The answer is 22"
92,How many years ago was Scottie Pippen awarded NBA steals leader?,27,nba,89,"Scottie Pippen was awarded NBA steals leader in 1995. 1995-2022 = 27 years. 27 years ago was 1995, which was before the specified year 2022. The answer is 27"
93,What was the first year that Carolina Albuquerque competed on the national team?,1997,volleyball,93,The first year that Carolina Albuquerque competed on the national team was 1997.
94,How many years separate Carolina Albuquerque's silver medals in the World Grand Prix and the World Championship?,7,volleyball,93,First find the number of years between Albuquerque's gold medals in the World Grand Prix and the World Championship: 2008-2006=2 years. Then subtract the number of years between Albuquerque's gold medals and the number of years between her silver medals: 2 years - 1 year = 1 year. The answer is 1
95,How many years after her first gold medal in any international competition did Carolina Albuquerque win a gold in the Olympics?,9,volleyball,93,The first international competition Carolina Albuquerque won a medal in was the World Grand Champions Cup in 2005. This was 14 years before she won a gold medal in the Olympics in 2008. 14 years is the number of years between the first and last medal. The answer is 14
96,In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,volleyball,93,"The first table gives the date as December 2022, but the answer instructions say the current date is December 2022. The answer should be written in the present tense."
97,What years did Carolina Albuquerque win medals in Asia?,"1999, 2005, 2006, 2008",volleyball,93,"1997-2008
2005 Japan
2005 Sendai
2006 Reggio Calabria
2008 Yokohama
1999 Winnipeg
2007 Rio de Janeiro
2008 Fortaleza
2008 Beijing
2006 Japan
The years in which Carolina Albuquerque won medals in Asia are 1999, 2005, 2006, 2007, 2008."
